Seat,Labour_Prob,Conservative_Prob,Reform_Prob,Restore_Prob,LibDem_Prob,Green_Prob,Oth_Prob,SNP_Prob,Plaid_Prob,PredictedWinner,WinnerProb
Broadland and Fakenham,0.1003,0.5569,0.3427,0.0,0.0001,0.0,0.0,0.0,0.0,Conservative,0.5569
Bromley and Biggin Hill,0.2082,0.5577,0.2341,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5577
Bromsgrove,0.0707,0.5878,0.3412,0.0,0.0003,0.0,0.0,0.0,0.0,Conservative,0.5878
Broxbourne,0.1132,0.5413,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5413
Broxtowe,0.4947,0.0734,0.4307,0.0,0.0,0.0012,0.0,0.0,0.0,Labour,0.4947
Buckingham and Bletchley,0.3671,0.5633,0.0694,0.0,0.0,0.0002,0.0,0.0,0.0,Conservative,0.5633
Burnley,0.3083,0.0746,0.6053,0.0,0.0079,0.0039,0.0,0.0,0.0,Reform,0.6053
Burton and Uttoxeter,0.2718,0.2431,0.4851,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.4851
Bury North,0.619,0.1303,0.2507,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.619
Bury South,0.5932,0.3638,0.0424,0.0,0.0,0.0006,0.0,0.0,0.0,Labour,0.5932
Bury St Edmunds and Stowmarket,0.2414,0.2175,0.5352,0.0,0.0,0.0059,0.0,0.0,0.0,Reform,0.5352
Caerfyrddin,0.002,0.0008,0.0842,0.0,0.0,0.0,0.0,0.0,0.913,Plaid,0.913
Caerphilly,0.0472,0.0,0.2396,0.0,0.0,0.0,0.0,0.0,0.7132,Plaid,0.7132
"Caithness, Sutherland and Easter Ross",0.0,0.0,0.0216,0.0,0.9434,0.0,0.0,0.035,0.0,LibDem,0.9434
Calder Valley,0.5093,0.1761,0.3145,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.5093
Camborne and Redruth,0.3622,0.0347,0.603,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.603
Cambridge,0.6296,0.0002,0.0006,0.0,0.0227,0.3469,0.0,0.0,0.0,Labour,0.6296
Cannock Chase,0.1681,0.1044,0.7275,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7275
Canterbury,0.6455,0.24,0.1009,0.0,0.0,0.0136,0.0,0.0,0.0,Labour,0.6455
Cardiff East,0.121,0.0,0.0531,0.0,0.0234,0.4756,0.0,0.0,0.3269,Green,0.4756
Cardiff North,0.3139,0.1266,0.0206,0.0,0.0,0.0085,0.0,0.0,0.5304,Plaid,0.5304
Cardiff South and Penarth,0.0202,0.0019,0.0019,0.0,0.0,0.8871,0.0,0.0,0.0889,Green,0.8871
Cardiff West,0.0959,0.0011,0.0656,0.0,0.0,0.0013,0.0,0.0,0.8361,Plaid,0.8361
Carlisle,0.2492,0.027,0.7238,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7238
Carshalton and Wallington,0.0005,0.3822,0.018,0.0,0.5992,0.0001,0.0,0.0,0.0,LibDem,0.5992
Castle Point,0.0088,0.2189,0.7723,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7723
Central Ayrshire,0.2485,0.0003,0.0388,0.0,0.0,0.0,0.0,0.7124,0.0,SNP,0.7124
Central Devon,0.1394,0.6103,0.2477,0.0,0.0026,0.0,0.0,0.0,0.0,Conservative,0.6103
Central Suffolk and North Ipswich,0.0369,0.5355,0.4192,0.0,0.0,0.0084,0.0,0.0,0.0,Conservative,0.5355
Ceredigion Preseli,0.0,0.0,0.0236,0.0,0.0014,0.0,0.0,0.0,0.975,Plaid,0.975
Chatham and Aylesford,0.2208,0.2061,0.573,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.573
Cheadle,0.0013,0.2083,0.0252,0.0,0.7652,0.0,0.0,0.0,0.0,LibDem,0.7652
Chelmsford,0.0001,0.2738,0.1843,0.0,0.5418,0.0,0.0,0.0,0.0,LibDem,0.5418
Chelsea and Fulham,0.3038,0.6957,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,Conservative,0.6957
Cheltenham,0.0,0.0428,0.1401,0.0,0.816,0.0011,0.0,0.0,0.0,LibDem,0.816
