Seat,Labour_Prob,Conservative_Prob,Reform_Prob,Restore_Prob,LibDem_Prob,Green_Prob,Oth_Prob,SNP_Prob,Plaid_Prob,PredictedWinner,WinnerProb
"Harborough, Oadby and Wigston",0.2022,0.7352,0.061,0.0,0.0,0.0016,0.0,0.0,0.0,Conservative,0.7352
Harlow,0.2807,0.3814,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.3814
Harpenden and Berkhamsted,0.0,0.2804,0.008,0.0,0.7115,0.0001,0.0,0.0,0.0,LibDem,0.7115
Harrogate and Knaresborough,0.0,0.0739,0.2375,0.0,0.6886,0.0,0.0,0.0,0.0,LibDem,0.6886
Harrow East,0.0583,0.9417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.9417
Harrow West,0.4982,0.5004,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,Conservative,0.5004
Hartlepool,0.3498,0.0025,0.6477,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6477
Harwich and North Essex,0.1061,0.6338,0.2601,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.6338
Hastings and Rye,0.4886,0.0098,0.4926,0.0,0.0,0.009,0.0,0.0,0.0,Reform,0.4926
Havant,0.1014,0.1208,0.7777,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.7777
Hayes and Harlington,0.9371,0.06,0.0002,0.0,0.0,0.0027,0.0,0.0,0.0,Labour,0.9371
Hazel Grove,0.0271,0.0197,0.4577,0.0,0.4955,0.0,0.0,0.0,0.0,LibDem,0.4955
Hemel Hempstead,0.3857,0.1165,0.4978,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.4978
Hendon,0.3373,0.6624,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,Conservative,0.6624
Henley and Thame,0.0,0.428,0.0145,0.0,0.5575,0.0,0.0,0.0,0.0,LibDem,0.5575
Hereford and South Herefordshire,0.1166,0.0979,0.7855,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7855
Herne Bay and Sandwich,0.0851,0.2822,0.6327,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6327
Hertford and Stortford,0.3895,0.426,0.1843,0.0,0.0001,0.0001,0.0,0.0,0.0,Conservative,0.426
Hertsmere,0.0382,0.9582,0.0032,0.0,0.0,0.0004,0.0,0.0,0.0,Conservative,0.9582
Hexham,0.5586,0.174,0.2674,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.5586
Heywood and Middleton North,0.524,0.0452,0.4306,0.0,0.0,0.0,0.0002,0.0,0.0,Labour,0.524
High Peak,0.4599,0.0869,0.4531,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.4599
Hinckley and Bosworth,0.0024,0.2486,0.6956,0.0,0.0534,0.0,0.0,0.0,0.0,Reform,0.6956
Hitchin,0.5368,0.3678,0.0952,0.0,0.0,0.0002,0.0,0.0,0.0,Labour,0.5368
Holborn and St Pancras,0.7665,0.0003,0.0,0.0,0.0,0.1989,0.0343,0.0,0.0,Labour,0.7665
Honiton and Sidmouth,0.0,0.2314,0.1607,0.0,0.6079,0.0,0.0,0.0,0.0,LibDem,0.6079
Hornchurch and Upminster,0.0524,0.2723,0.6753,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6753
Hornsey and Friern Barnet,0.9286,0.0185,0.0,0.0,0.0017,0.0512,0.0,0.0,0.0,Labour,0.9286
Horsham,0.0,0.3568,0.163,0.0,0.4802,0.0,0.0,0.0,0.0,LibDem,0.4802
Houghton and Sunderland South,0.3439,0.001,0.6549,0.0,0.0,0.0002,0.0,0.0,0.0,Reform,0.6549
Hove and Portslade,0.8991,0.0006,0.0541,0.0,0.0,0.0462,0.0,0.0,0.0,Labour,0.8991
Huddersfield,0.5189,0.0117,0.0387,0.0,0.0,0.4307,0.0,0.0,0.0,Labour,0.5189
Huntingdon,0.1737,0.5602,0.2661,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5602
Hyndburn,0.2453,0.2216,0.5243,0.0,0.0,0.0088,0.0,0.0,0.0,Reform,0.5243
Ilford North,0.3952,0.2253,0.0,0.0,0.0,0.0001,0.3794,0.0,0.0,Labour,0.3952
Ilford South,0.8427,0.0115,0.0,0.0,0.0,0.004,0.1418,0.0,0.0,Labour,0.8427
Inverclyde and Renfrewshire West,0.2808,0.0,0.0128,0.0,0.0,0.0,0.0,0.7064,0.0,SNP,0.7064
"Inverness, Skye and West Ross-shire",0.0001,0.0,0.0045,0.0,0.7288,0.0003,0.0,0.2663,0.0,LibDem,0.7288
Ipswich,0.5328,0.0333,0.4335,0.0,0.0,0.0004,0.0,0.0,0.0,Labour,0.5328
Isle of Wight East,0.0064,0.1535,0.7137,0.0,0.0,0.1264,0.0,0.0,0.0,Reform,0.7137
Isle of Wight West,0.3053,0.0723,0.6224,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6224
Islington North,0.7604,0.0,0.0,0.0,0.0,0.0009,0.2387,0.0,0.0,Labour,0.7604
Islington South and Finsbury,0.8891,0.0008,0.0,0.0,0.0002,0.1099,0.0,0.0,0.0,Labour,0.8891
Jarrow and Gateshead East,0.4329,0.0001,0.5668,0.0,0.0,0.0002,0.0,0.0,0.0,Reform,0.5668
Keighley and Ilkley,0.3644,0.43,0.2056,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.43
Kenilworth and Southam,0.0312,0.9103,0.0433,0.0,0.0151,0.0001,0.0,0.0,0.0,Conservative,0.9103
Kensington and Bayswater,0.4247,0.5717,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,Conservative,0.5717
Kettering,0.3471,0.0835,0.5506,0.0,0.0,0.0188,0.0,0.0,0.0,Reform,0.5506
Kilmarnock and Loudoun,0.1998,0.0,0.0233,0.0,0.0,0.0,0.0,0.7769,0.0,SNP,0.7769
Kingston and Surbiton,0.0006,0.153,0.0005,0.0,0.843,0.0029,0.0,0.0,0.0,LibDem,0.843
Kingston upon Hull East,0.2344,0.0,0.7651,0.0,0.0002,0.0003,0.0,0.0,0.0,Reform,0.7651
Kingston upon Hull North and Cottingham,0.5593,0.0003,0.4399,0.0,0.0,0.0005,0.0,0.0,0.0,Labour,0.5593
Kingston upon Hull West and Haltemprice,0.4844,0.0015,0.5141,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5141
Kingswinford and South Staffordshire,0.0318,0.5423,0.4259,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5423
Knowsley,0.6185,0.0,0.3813,0.0,0.0,0.0002,0.0,0.0,0.0,Labour,0.6185
Lancaster and Wyre,0.5673,0.1514,0.2082,0.0,0.0,0.0731,0.0,0.0,0.0,Labour,0.5673
Leeds Central and Headingley,0.2869,0.0,0.0,0.0,0.0,0.7131,0.0,0.0,0.0,Green,0.7131
Leeds East,0.809,0.0113,0.1757,0.0,0.0,0.004,0.0,0.0,0.0,Labour,0.809
Leeds North East,0.9087,0.057,0.0025,0.0,0.0,0.0318,0.0,0.0,0.0,Labour,0.9087
Leeds North West,0.66,0.1515,0.1883,0.0,0.0,0.0002,0.0,0.0,0.0,Labour,0.66
Leeds South,0.8712,0.0,0.0533,0.0,0.0,0.0755,0.0,0.0,0.0,Labour,0.8712
Leeds South West and Morley,0.4788,0.0569,0.4642,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.4788
Leeds West and Pudsey,0.7242,0.0018,0.2712,0.0,0.0,0.0028,0.0,0.0,0.0,Labour,0.7242
Leicester East,0.0343,0.8848,0.0,0.0,0.0,0.0079,0.073,0.0,0.0,Conservative,0.8848
Leicester South,0.2408,0.0001,0.0,0.0,0.0,0.1192,0.6399,0.0,0.0,Oth,0.6399
Leicester West,0.8469,0.0648,0.0705,0.0,0.0,0.0178,0.0,0.0,0.0,Labour,0.8469
Leigh and Atherton,0.4598,0.0047,0.5353,0.0,0.0,0.0002,0.0,0.0,0.0,Reform,0.5353
Lewes,0.0,0.064,0.1608,0.0,0.7752,0.0,0.0,0.0,0.0,LibDem,0.7752
Lewisham East,0.936,0.0036,0.0003,0.0,0.0,0.0601,0.0,0.0,0.0,Labour,0.936
Lewisham North,0.8219,0.0001,0.0001,0.0,0.0,0.1779,0.0,0.0,0.0,Labour,0.8219
Lewisham West and East Dulwich,0.8697,0.0004,0.0001,0.0,0.0002,0.1296,0.0,0.0,0.0,Labour,0.8697
Leyton and Wanstead,0.9037,0.0039,0.0001,0.0,0.0,0.0903,0.002,0.0,0.0,Labour,0.9037
Lichfield,0.1644,0.4831,0.3525,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.4831
Lincoln,0.5164,0.0354,0.4477,0.0,0.0,0.0005,0.0,0.0,0.0,Labour,0.5164
Liverpool Garston,0.7318,0.0001,0.2678,0.0,0.0,0.0003,0.0,0.0,0.0,Labour,0.7318
Liverpool Riverside,0.7293,0.0,0.0067,0.0,0.0,0.264,0.0,0.0,0.0,Labour,0.7293
Liverpool Walton,0.6868,0.0,0.3123,0.0,0.0,0.0009,0.0,0.0,0.0,Labour,0.6868
Liverpool Wavertree,0.8256,0.0,0.0161,0.0,0.0,0.1583,0.0,0.0,0.0,Labour,0.8256
Liverpool West Derby,0.7232,0.0,0.276,0.0,0.0,0.0008,0.0,0.0,0.0,Labour,0.7232
Livingston,0.1801,0.0,0.019,0.0,0.0,0.0009,0.0,0.8,0.0,SNP,0.8
Llanelli,0.0139,0.0001,0.2608,0.0,0.0,0.0,0.0,0.0,0.7252,Plaid,0.7252
Lothian East,0.5481,0.0001,0.0151,0.0,0.0,0.003,0.0,0.4337,0.0,Labour,0.5481
Loughborough,0.3977,0.5142,0.0828,0.0,0.0,0.0053,0.0,0.0,0.0,Conservative,0.5142
Louth and Horncastle,0.0103,0.4169,0.5728,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5728
Lowestoft,0.1301,0.0227,0.8471,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.8471
Luton North,0.8442,0.0822,0.006,0.0,0.0,0.0,0.0676,0.0,0.0,Labour,0.8442
Luton South and South Bedfordshire,0.8201,0.0854,0.0063,0.0,0.0,0.0011,0.0871,0.0,0.0,Labour,0.8201
Macclesfield,0.567,0.1706,0.2624,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.567
Maidenhead,0.0002,0.3367,0.0182,0.0,0.6449,0.0,0.0,0.0,0.0,LibDem,0.6449
Maidstone and Malling,0.1,0.3124,0.5863,0.0,0.0008,0.0005,0.0,0.0,0.0,Reform,0.5863
Makerfield,0.327,0.0011,0.6719,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6719
Maldon,0.0033,0.6067,0.3898,0.0,0.0002,0.0,0.0,0.0,0.0,Conservative,0.6067
Manchester Central,0.8292,0.0,0.0008,0.0,0.0001,0.1699,0.0,0.0,0.0,Labour,0.8292
Manchester Rusholme,0.6291,0.0,0.0,0.0,0.0,0.37,0.0009,0.0,0.0,Labour,0.6291
Manchester Withington,0.8472,0.0,0.0002,0.0,0.001,0.1516,0.0,0.0,0.0,Labour,0.8472
Mansfield,0.2272,0.0337,0.7391,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7391
Melksham and Devizes,0.0,0.2357,0.3212,0.0,0.4431,0.0,0.0,0.0,0.0,LibDem,0.4431
Melton and Syston,0.0442,0.6535,0.3022,0.0,0.0,0.0001,0.0,0.0,0.0,Conservative,0.6535
Meriden and Solihull East,0.0525,0.7774,0.1701,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.7774
Merthyr Tydfil and Aberdare,0.1598,0.0,0.4165,0.0,0.0,0.0,0.0,0.0,0.4237,Plaid,0.4237
Mid Bedfordshire,0.1034,0.8494,0.0471,0.0,0.0,0.0001,0.0,0.0,0.0,Conservative,0.8494
Mid Buckinghamshire,0.002,0.9105,0.016,0.0,0.0714,0.0001,0.0,0.0,0.0,Conservative,0.9105
Mid Cheshire,0.4182,0.0098,0.572,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.572
Mid Derbyshire,0.2331,0.3837,0.3832,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.3837
Mid Dorset and North Poole,0.0,0.0509,0.361,0.0,0.5881,0.0,0.0,0.0,0.0,LibDem,0.5881
Mid Dunbartonshire,0.0023,0.0,0.0001,0.0,0.8954,0.0003,0.0,0.1019,0.0,LibDem,0.8954
Mid Leicestershire,0.1228,0.7629,0.1141,0.0,0.0,0.0002,0.0,0.0,0.0,Conservative,0.7629
Mid Norfolk,0.0711,0.353,0.5759,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5759
Mid Sussex,0.0032,0.1754,0.2028,0.0,0.6186,0.0,0.0,0.0,0.0,LibDem,0.6186
Mid and South Pembrokeshire,0.1189,0.0173,0.6919,0.0,0.0,0.0,0.0,0.0,0.1719,Reform,0.6919
Middlesbrough South and East Cleveland,0.3154,0.0069,0.6777,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6777
Middlesbrough and Thornaby East,0.6917,0.0029,0.3054,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.6917
Midlothian,0.3365,0.0001,0.0103,0.0,0.0,0.0,0.0,0.6531,0.0,SNP,0.6531
Milton Keynes Central,0.6135,0.3738,0.0114,0.0,0.0,0.0013,0.0,0.0,0.0,Labour,0.6135
Milton Keynes North,0.5797,0.3507,0.0693,0.0,0.0,0.0003,0.0,0.0,0.0,Labour,0.5797
Mitcham and Morden,0.9661,0.0184,0.0019,0.0,0.0,0.0136,0.0,0.0,0.0,Labour,0.9661
Monmouthshire,0.1691,0.4988,0.2581,0.0,0.0,0.0002,0.0,0.0,0.0738,Conservative,0.4988
Montgomeryshire and Glyndwr,0.0412,0.0001,0.5608,0.0,0.0053,0.0,0.0,0.0,0.3926,Reform,0.5608
"Moray West, Nairn and Strathspey",0.0022,0.1314,0.075,0.0,0.0,0.0,0.0,0.7914,0.0,SNP,0.7914
Morecambe and Lunesdale,0.3259,0.1286,0.5452,0.0,0.0001,0.0002,0.0,0.0,0.0,Reform,0.5452
"Motherwell, Wishaw and Carluke",0.3411,0.0,0.0163,0.0,0.0,0.0004,0.0,0.6422,0.0,SNP,0.6422
Na h-Eileanan an Iar,0.382,0.0,0.0904,0.0,0.0,0.0,0.0,0.5276,0.0,SNP,0.5276
Neath and Swansea East,0.1927,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.4323,Plaid,0.4323
New Forest East,0.01,0.3311,0.6571,0.0,0.0016,0.0002,0.0,0.0,0.0,Reform,0.6571
New Forest West,0.0317,0.3609,0.6016,0.0,0.0058,0.0,0.0,0.0,0.0,Reform,0.6016
Newark,0.1333,0.4931,0.3736,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.4931
Newbury,0.0,0.2354,0.2557,0.0,0.5088,0.0001,0.0,0.0,0.0,LibDem,0.5088
Newcastle upon Tyne Central and West,0.777,0.0011,0.1567,0.0,0.0,0.0644,0.0008,0.0,0.0,Labour,0.777
Newcastle upon Tyne East and Wallsend,0.6348,0.0,0.3226,0.0,0.0001,0.0425,0.0,0.0,0.0,Labour,0.6348
Newcastle upon Tyne North,0.8481,0.0078,0.0919,0.0,0.0003,0.0519,0.0,0.0,0.0,Labour,0.8481
Newcastle-under-Lyme,0.32,0.1842,0.4958,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.4958
Newport East,0.214,0.0021,0.569,0.0,0.0,0.0029,0.0,0.0,0.212,Reform,0.569
Newport West and Islwyn,0.199,0.0012,0.4601,0.0,0.0,0.0,0.0,0.0,0.3397,Reform,0.4601
Newton Abbot,0.002,0.0303,0.7573,0.0,0.2104,0.0,0.0,0.0,0.0,Reform,0.7573
Newton Aycliffe and Spennymoor,0.345,0.0186,0.6364,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6364
Normanton and Hemsworth,0.3497,0.0152,0.6351,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6351
North Ayrshire and Arran,0.1324,0.0001,0.0405,0.0,0.0,0.0002,0.0,0.8268,0.0,SNP,0.8268
North Bedfordshire,0.0571,0.8557,0.0871,0.0,0.0001,0.0,0.0,0.0,0.0,Conservative,0.8557
North Cornwall,0.0,0.1078,0.2607,0.0,0.6315,0.0,0.0,0.0,0.0,LibDem,0.6315
North Cotswolds,0.0029,0.5183,0.3141,0.0,0.1647,0.0,0.0,0.0,0.0,Conservative,0.5183
North Devon,0.0,0.0851,0.3939,0.0,0.521,0.0,0.0,0.0,0.0,LibDem,0.521
North Dorset,0.0,0.3934,0.3742,0.0,0.2324,0.0,0.0,0.0,0.0,Conservative,0.3934
North Durham,0.3157,0.0057,0.6784,0.0,0.0,0.0002,0.0,0.0,0.0,Reform,0.6784
North East Cambridgeshire,0.008,0.1444,0.8476,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.8476
North East Derbyshire,0.199,0.1374,0.6636,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6636
North East Fife,0.0,0.0,0.0013,0.0,0.9812,0.0153,0.0,0.0022,0.0,LibDem,0.9812
North East Hampshire,0.0,0.5612,0.0645,0.0,0.3743,0.0,0.0,0.0,0.0,Conservative,0.5612
North East Hertfordshire,0.2493,0.574,0.1762,0.0,0.0,0.0005,0.0,0.0,0.0,Conservative,0.574
North East Somerset and Hanham,0.3462,0.2896,0.364,0.0,0.0,0.0002,0.0,0.0,0.0,Reform,0.364
North Herefordshire,0.0,0.0816,0.0237,0.0,0.0,0.8947,0.0,0.0,0.0,Green,0.8947
North Norfolk,0.0,0.2643,0.2936,0.0,0.4421,0.0,0.0,0.0,0.0,LibDem,0.4421
North Northumberland,0.3621,0.0588,0.5791,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5791
North Shropshire,0.0,0.067,0.2294,0.0,0.7035,0.0001,0.0,0.0,0.0,LibDem,0.7035
North Somerset,0.2732,0.443,0.2837,0.0,0.0001,0.0,0.0,0.0,0.0,Conservative,0.443
North Warwickshire and Bedworth,0.1637,0.2814,0.5549,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5549
North West Cambridgeshire,0.1873,0.6059,0.2067,0.0,0.0,0.0001,0.0,0.0,0.0,Conservative,0.6059
North West Essex,0.1255,0.7736,0.1009,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.7736
North West Hampshire,0.1033,0.4141,0.4816,0.0,0.0009,0.0001,0.0,0.0,0.0,Reform,0.4816
North West Leicestershire,0.1737,0.3332,0.4931,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.4931
North West Norfolk,0.0338,0.1673,0.7983,0.0,0.0006,0.0,0.0,0.0,0.0,Reform,0.7983
Northampton North,0.7108,0.0521,0.2369,0.0,0.0,0.0002,0.0,0.0,0.0,Labour,0.7108
Northampton South,0.4074,0.3588,0.2338,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.4074
Norwich North,0.4523,0.004,0.5432,0.0,0.0,0.0005,0.0,0.0,0.0,Reform,0.5432
Norwich South,0.7043,0.0,0.1349,0.0,0.0,0.1608,0.0,0.0,0.0,Labour,0.7043
Nottingham East,0.7981,0.0002,0.0009,0.0,0.0,0.2008,0.0,0.0,0.0,Labour,0.7981
Nottingham North and Kimberley,0.7318,0.0162,0.2503,0.0,0.0,0.0017,0.0,0.0,0.0,Labour,0.7318
Nottingham South,0.7465,0.0439,0.0146,0.0,0.0,0.195,0.0,0.0,0.0,Labour,0.7465
Nuneaton,0.2685,0.0868,0.6447,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6447
Old Bexley and Sidcup,0.0833,0.5171,0.3996,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5171
Oldham East and Saddleworth,0.6634,0.059,0.2693,0.0,0.0,0.0,0.0083,0.0,0.0,Labour,0.6634
"Oldham West, Chadderton and Royton",0.5208,0.0004,0.0953,0.0,0.0,0.002,0.3815,0.0,0.0,Labour,0.5208
Orkney and Shetland,0.0,0.0,0.0097,0.0,0.9796,0.0086,0.0,0.0021,0.0,LibDem,0.9796
Orpington,0.0548,0.6016,0.3436,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.6016
Ossett and Denby Dale,0.2753,0.3446,0.3801,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.3801
Oxford East,0.8901,0.0,0.0197,0.0,0.0,0.0889,0.0013,0.0,0.0,Labour,0.8901
Oxford West and Abingdon,0.0004,0.2014,0.0003,0.0,0.7779,0.02,0.0,0.0,0.0,LibDem,0.7779
Paisley and Renfrewshire North,0.337,0.0,0.0079,0.0,0.0,0.0006,0.0,0.6545,0.0,SNP,0.6545
Paisley and Renfrewshire South,0.3366,0.0,0.0113,0.0,0.0,0.0017,0.0,0.6504,0.0,SNP,0.6504
Peckham,0.8609,0.0,0.0,0.0,0.0,0.1391,0.0,0.0,0.0,Labour,0.8609
Pendle and Clitheroe,0.3621,0.3422,0.2957,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.3621
Penistone and Stocksbridge,0.3898,0.0986,0.5116,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5116
Penrith and Solway,0.276,0.1742,0.5498,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5498
Perth and Kinross-shire,0.0011,0.1177,0.0109,0.0,0.0,0.0,0.0,0.8703,0.0,SNP,0.8703
Peterborough,0.4029,0.3024,0.2938,0.0,0.0,0.0,0.0009,0.0,0.0,Labour,0.4029
Plymouth Moor View,0.2367,0.0157,0.7476,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7476
Plymouth Sutton and Devonport,0.6741,0.0021,0.3148,0.0,0.0,0.009,0.0,0.0,0.0,Labour,0.6741
"Pontefract, Castleford and Knottingley",0.3028,0.0005,0.6965,0.0,0.0,0.0002,0.0,0.0,0.0,Reform,0.6965
Pontypridd,0.1003,0.0,0.4083,0.0,0.0,0.0,0.0,0.0,0.4914,Plaid,0.4914
Poole,0.1935,0.1225,0.6839,0.0,0.0001,0.0,0.0,0.0,0.0,Reform,0.6839
Poplar and Limehouse,0.9326,0.0044,0.0001,0.0,0.0001,0.0602,0.0026,0.0,0.0,Labour,0.9326
Portsmouth North,0.1888,0.1914,0.6198,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6198
Portsmouth South,0.8911,0.016,0.0877,0.0,0.0002,0.005,0.0,0.0,0.0,Labour,0.8911
Preston,0.6318,0.0003,0.1955,0.0,0.0,0.0003,0.1721,0.0,0.0,Labour,0.6318
Putney,0.8475,0.1479,0.0,0.0,0.0009,0.0037,0.0,0.0,0.0,Labour,0.8475
Queen's Park and Maida Vale,0.9451,0.0059,0.0,0.0,0.0,0.049,0.0,0.0,0.0,Labour,0.9451
Rawmarsh and Conisbrough,0.3449,0.0002,0.6548,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.6548
Rayleigh and Wickford,0.0143,0.381,0.6047,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6047
Reading Central,0.8911,0.0473,0.0048,0.0,0.0,0.0568,0.0,0.0,0.0,Labour,0.8911
Reading West and Mid Berkshire,0.2876,0.5705,0.1416,0.0,0.0,0.0003,0.0,0.0,0.0,Conservative,0.5705
Redcar,0.2226,0.022,0.7554,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7554
Redditch,0.1929,0.2801,0.5269,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.5269
Reigate,0.137,0.6679,0.1938,0.0,0.0003,0.001,0.0,0.0,0.0,Conservative,0.6679
Rhondda and Ogmore,0.294,0.0,0.3426,0.0,0.0,0.0,0.0,0.0,0.3634,Plaid,0.3634
Ribble Valley,0.2155,0.6048,0.1797,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.6048
Richmond Park,0.0,0.197,0.0,0.0,0.8016,0.0014,0.0,0.0,0.0,LibDem,0.8016
Richmond and Northallerton,0.0163,0.6875,0.2962,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.6875
Rochdale,0.4855,0.0009,0.1123,0.0,0.0,0.0,0.4013,0.0,0.0,Labour,0.4855
Rochester and Strood,0.2722,0.3608,0.367,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.367
Romford,0.1669,0.3259,0.5072,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5072
Romsey and Southampton North,0.0,0.6993,0.0501,0.0,0.2506,0.0,0.0,0.0,0.0,Conservative,0.6993
Rossendale and Darwen,0.3774,0.1395,0.4831,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.4831
Rother Valley,0.2287,0.1879,0.5834,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5834
Rotherham,0.503,0.0,0.4961,0.0,0.0,0.0009,0.0,0.0,0.0,Labour,0.503
Rugby,0.4079,0.3028,0.2893,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.4079
"Ruislip, Northwood and Pinner",0.0683,0.9307,0.0007,0.0,0.0,0.0003,0.0,0.0,0.0,Conservative,0.9307
Runcorn and Helsby,0.5713,0.0024,0.426,0.0,0.0,0.0003,0.0,0.0,0.0,Labour,0.5713
Runnymede and Weybridge,0.0193,0.8164,0.1269,0.0,0.0374,0.0,0.0,0.0,0.0,Conservative,0.8164
Rushcliffe,0.3988,0.5733,0.0277,0.0,0.0,0.0002,0.0,0.0,0.0,Conservative,0.5733
Rutherglen,0.3906,0.0,0.0055,0.0,0.0,0.0001,0.0,0.6038,0.0,SNP,0.6038
Rutland and Stamford,0.0168,0.7986,0.1845,0.0,0.0001,0.0,0.0,0.0,0.0,Conservative,0.7986
Salford,0.8666,0.0,0.0363,0.0,0.0,0.0971,0.0,0.0,0.0,Labour,0.8666
Salisbury,0.1001,0.2832,0.5504,0.0,0.0663,0.0,0.0,0.0,0.0,Reform,0.5504
Scarborough and Whitby,0.2911,0.0376,0.6713,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6713
Scunthorpe,0.2338,0.0328,0.7334,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7334
Sefton Central,0.7189,0.006,0.275,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.7189
Selby,0.4144,0.22,0.3656,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.4144
Sevenoaks,0.0002,0.6943,0.2382,0.0,0.0673,0.0,0.0,0.0,0.0,Conservative,0.6943
Sheffield Brightside and Hillsborough,0.7932,0.0,0.1756,0.0,0.0,0.0296,0.0016,0.0,0.0,Labour,0.7932
Sheffield Central,0.5511,0.0,0.0001,0.0,0.0,0.4488,0.0,0.0,0.0,Labour,0.5511
Sheffield Hallam,0.6493,0.0008,0.0333,0.0,0.2875,0.0291,0.0,0.0,0.0,Labour,0.6493
Sheffield Heeley,0.7243,0.0,0.2571,0.0,0.0,0.0186,0.0,0.0,0.0,Labour,0.7243
Sheffield South East,0.7141,0.0,0.2844,0.0,0.0001,0.0014,0.0,0.0,0.0,Labour,0.7141
Sherwood Forest,0.2499,0.1386,0.6115,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6115
Shipley,0.5984,0.1883,0.2132,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.5984
Shrewsbury,0.4935,0.0095,0.4969,0.0,0.0001,0.0,0.0,0.0,0.0,Reform,0.4969
Sittingbourne and Sheppey,0.1447,0.1131,0.7422,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7422
Skipton and Ripon,0.1511,0.5695,0.2794,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5695
Sleaford and North Hykeham,0.0604,0.5762,0.3634,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5762
Slough,0.5714,0.0322,0.0,0.0,0.0,0.0011,0.3953,0.0,0.0,Labour,0.5714
Smethwick,0.9556,0.0053,0.0207,0.0,0.0,0.0176,0.0008,0.0,0.0,Labour,0.9556
