Seat,Tribe,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
"Ayr, Carrick and Cumnock",Blues,0.0,0.2181043999999999,0.0,0.0,0.0,0.0,0.0,0
"Ayr, Carrick and Cumnock",Reforms,0.0,21.886575326121132,8.7,0.0,0.0,0.0,0.0,0
Bathgate and Linlithgow,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.8680096,0
Bathgate and Linlithgow,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.486099786959828,0
Bathgate and Linlithgow,Progressives,4.897188708155465,0.0,0.0,0.0,0.0,0.0,0.0,0
Bathgate and Linlithgow,Average,33.250416677094506,0.0,0.0,0.0,0.0,0.0,0.0,0
Bathgate and Linlithgow,Liberal,8.852394614750025,0.0,0.0,5.2,3.3,1.5,6.048554542399381,0
Bathgate and Linlithgow,Blues,0.0,0.2953101,0.0,0.0,0.0,0.0,0.0,0
Bathgate and Linlithgow,Reforms,0.0,7.2046899,8.4,0.0,0.0,0.0,11.6973360706408,0
"Berwickshire, Roxburgh and Selkirk",Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.327173,0
"Berwickshire, Roxburgh and Selkirk",Left,0.0,0.0,0.0,0.0,0.0,0.0,7.640959736484203,0
"Berwickshire, Roxburgh and Selkirk",Progressives,6.354263613030009,0.0,0.0,0.0,0.0,0.0,0.0,0
"Berwickshire, Roxburgh and Selkirk",Average,7.24573638696999,8.372159807977004,0.0,0.0,3.3,1.099999999999997,18.431867263515798,0
"Berwickshire, Roxburgh and Selkirk",Liberal,0.0,10.448371378618399,0.0,7.9,0.0,0.0,0.0,0
"Berwickshire, Roxburgh and Selkirk",Blues,0.0,0.1533,0.0,0.0,0.0,0.0,0.0,0
"Berwickshire, Roxburgh and Selkirk",Reforms,0.0,21.526168813404595,7.2,0.0,0.0,0.0,0.0,0
"Caithness, Sutherland and Easter Ross",Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.3615487,0
"Caithness, Sutherland and Easter Ross",Left,0.0,0.0,0.0,0.0,0.0,0.0,6.993024730500936,0
"Caithness, Sutherland and Easter Ross",Progressives,3.945931002986742,0.0,0.0,0.0,0.0,0.0,0.0,0
"Caithness, Sutherland and Easter Ross",Average,3.4540689970132585,0.0,0.0,28.638009727240053,0.0,0.0,5.8201513724530685,0
"Caithness, Sutherland and Easter Ross",Liberal,0.0,0.0,0.0,20.761990272759945,0.0,0.0,0.0,0
"Caithness, Sutherland and Easter Ross",Blues,0.0,0.1375,0.0,0.0,0.0,0.0,0.0,0
"Caithness, Sutherland and Easter Ross",Reforms,0.0,3.8625,7.3,0.0,3.6,1.7,13.425275197045998,0
Central Ayrshire,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.4174937,0
Central Ayrshire,Left,0.0,0.0,0.0,0.0,0.0,0.0,7.868091295591848,0
Central Ayrshire,Progressives,4.749910817056319,0.0,0.0,0.0,0.0,0.0,0.0,0
Central Ayrshire,Average,35.7678460150038,0.0,0.0,0.0,0.0,0.0,0.0,0
Central Ayrshire,Liberal,3.1822431679398875,0.0,0.0,2.4,2.5,1.2,12.188310169756189,0
Central Ayrshire,Blues,0.0,0.1904494,0.0,0.0,0.0,0.0,0.0,0
Central Ayrshire,Reforms,0.0,14.6095506,8.3,0.0,0.0,0.0,6.62610483465196,0
Coatbridge and Bellshill,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,1.3543257,0
Coatbridge and Bellshill,Left,0.0,0.0,0.0,0.0,0.0,0.0,10.111362584229193,0
Coatbridge and Bellshill,Progressives,3.999382145652346,0.0,0.0,0.0,0.0,0.0,0.0,0
Coatbridge and Bellshill,Average,32.225117681874764,0.0,0.0,0.0,0.0,0.0,0.0,0
Coatbridge and Bellshill,Liberal,13.575500172472886,0.0,0.0,1.7,3.2,1.6,0.19538219622261366,0
Coatbridge and Bellshill,Blues,0.0,0.1063,0.0,0.0,0.0,0.0,0.0,0
Coatbridge and Bellshill,Reforms,0.0,3.4937,6.7,0.0,0.0,0.0,21.738929519548197,0
Cowdenbeath and Kirkcaldy,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,1.335046,0
Cowdenbeath and Kirkcaldy,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.389136184762263,0
Cowdenbeath and Kirkcaldy,Progressives,5.527318428308279,0.0,0.0,0.0,0.0,0.0,0.0,0
Cowdenbeath and Kirkcaldy,Average,37.70954241317378,0.0,0.0,0.0,0.0,0.0,0.0,0
Cowdenbeath and Kirkcaldy,Liberal,2.463139158517947,0.0,0.0,3.9,3.8,3.1,5.642358467449341,0
Cowdenbeath and Kirkcaldy,Blues,0.0,0.2558395,0.0,0.0,0.0,0.0,0.0,0
Cowdenbeath and Kirkcaldy,Reforms,0.0,7.5441605,7.7,0.0,0.0,0.0,12.633459347788396,0
Cumbernauld and Kirkintilloch,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,1.1996908,0
Cumbernauld and Kirkintilloch,Left,0.0,0.0,0.0,0.0,0.0,0.0,9.537754180464688,0
Cumbernauld and Kirkintilloch,Progressives,4.7510595389613695,0.0,0.0,0.0,0.0,0.0,0.0,0
Cumbernauld and Kirkintilloch,Average,34.91737763311497,0.0,0.0,0.0,0.0,0.0,0.0,0
Cumbernauld and Kirkintilloch,Liberal,5.531562827923665,0.0,0.0,3.2,4.1,0.0,9.767709719796857,0
Cumbernauld and Kirkintilloch,Blues,0.0,0.1839768,0.0,0.0,0.0,0.0,0.0,0
Cumbernauld and Kirkintilloch,Reforms,0.0,4.5160232,7.7,0.0,0.0,0.0,14.594845299738452,0
Dumfries and Galloway,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.5056309,0
Dumfries and Galloway,Left,0.0,0.0,0.0,0.0,0.0,0.0,7.285266457680241,0
Dumfries and Galloway,Progressives,5.495138127456012,0.0,0.0,0.0,0.0,0.0,0.0,0
Dumfries and Galloway,Average,20.204861872543987,0.0,0.0,0.0,0.0,0.0,18.865042360858453,0
Dumfries and Galloway,Liberal,0.0,7.892022269319483,0.0,4.6,2.7,0.5,0.8440602814613039,0
Dumfries and Galloway,Blues,0.0,0.1212,0.0,0.0,0.0,0.0,0.0,0
Dumfries and Galloway,Reforms,0.0,21.586777730680517,9.4,0.0,0.0,0.0,0.0,0
