Seat,County,Region, ,Muslim,Left,Progressives,Average,Liberal,Blues,Reforms,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Derbyshire Dales,Derbyshire,East Midlands,0,0.3783596,6.544277884170892,7.191911740611847,20.299044254681633,26.365709656698293,16.5136572,22.707039663837346,34.6,34.0,15.1,9.5,5.5,1.3,0,0
Dewsbury and Batley,West Yorkshire,Yorkshire and the Humber,0,43.6788144,12.96452543162615,6.92635914528087,6.6121725561750395,13.14458290686969,1.0416339000000001,15.631911660048248,22.9,11.0,16.2,3.5,5.4,41.1,0,0
Didcot and Wantage,Oxfordshire,South East,0,1.0337231,7.50066970265202,9.698680360085078,24.27231087142266,28.81956019193194,10.1565956,18.518460173908306,14.7,28.4,11.7,39.8,4.9,0.4,0,0
Doncaster Central,South Yorkshire,Yorkshire and the Humber,0,4.8305259000000005,8.451143339389573,11.333345380736116,32.80766033290679,12.94705985194791,2.1293934,27.50087179501961,46.2,21.0,20.8,3.2,5.0,4.0,0,0
Doncaster East and the Isle of Axholme,Lincolnshire; South Yorkshire,Yorkshire and the Humber,0,1.0610589,7.757744717438299,5.813557969633216,25.641103664788744,19.46871790320443,10.1264056,30.131411244935308,38.6,32.7,21.7,3.0,3.6,0.4,0,0
Doncaster North,South Yorkshire,Yorkshire and the Humber,0,0.472537,8.817676436980813,6.195146880655144,30.76123854229212,15.554183761443129,4.018839400000001,34.18037797862879,52.4,22.9,0.0,3.4,5.7,15.6,0,0
Dorking and Horley,Surrey,South East,0,1.5423644,7.148485435639082,8.90956948873072,25.471347837939675,32.82214586675505,8.732999800000002,15.373087170935474,8.1,31.1,13.8,41.9,5.1,0.0,0,0
Dover and Deal,Kent,South East,0,0.6432397000000001,7.5452251483811255,8.065227278245905,32.57315190607724,18.050678061685737,6.343718500000001,26.77875940560998,39.6,21.7,23.8,5.4,6.5,2.9,0,0
Droitwich and Evesham,Worcestershire,West Midlands,0,0.6510825,7.281777654586173,6.669358786802681,27.32820207222406,25.34834521134969,8.4349566,24.286277175037405,22.1,40.3,19.1,10.3,7.7,0.5,0,0
Dudley,West Midlands,West Midlands,0,7.5866508,9.801061999850416,11.56930365930959,32.66683297365674,10.462716957379728,1.1299081999999998,26.78352540980353,34.1,28.8,26.4,3.0,3.2,4.5,0,0
Dulwich and West Norwood,London (Lambeth; Southwark),London,0,7.5750927,10.57765421537876,45.37227217727565,5.909005851620293,18.303964752270826,4.9780441,7.28396620345446,60.3,8.5,4.0,7.7,18.9,0.7,0,0
Dunstable and Leighton Buzzard,Bedfordshire,Eastern,0,2.0902406,7.96503903462058,10.94155828990774,30.680833039527485,25.29332307908303,2.4536661,20.575339856861163,32.5,31.1,17.5,14.1,4.6,0.2,0,0
Ealing Central and Acton,London (Ealing; Hammersmith and Fulham),London,0,16.6387265,12.488761894588741,38.39480123192483,0.6746579253832863,18.048102077863895,8.5140804,5.2408699702392365,46.8,17.5,6.5,12.7,11.4,5.2,0,0
Ealing North,London (Ealing),London,0,20.3465982,11.974440156669521,32.302402693276235,2.459343896137412,16.385383498484103,11.003444,5.528387555432737,47.8,18.8,9.1,5.9,9.4,9.0,0,0
Ealing Southall,London (Ealing),London,0,19.3167443,13.17800253088742,40.90180974561315,0.0,10.289035618594085,11.3881443,4.926263504905342,49.1,15.4,5.5,6.0,9.3,14.6,0,0
Earley and Woodley,Berkshire,South East,0,8.564617700000001,12.472647702407,15.212681258867423,11.394782813298178,30.40323983925329,9.6042068,12.34782388617411,39.7,28.0,9.8,13.4,7.4,1.7,0,0
Easington,County Durham,North East,0,0.3359162,9.73761842259158,5.306666234575062,27.924701370172784,13.453929612339948,7.897,35.34416816032062,48.9,10.9,29.8,2.4,3.4,4.6,0,0
East Grinstead and Uckfield,East Sussex; West Sussex,South East,0,0.9141303,7.2540411095589645,7.9273148813373275,25.23538863320269,30.77228705642315,10.7667838,17.130054219477863,20.7,38.3,0.0,21.5,10.5,9.0,0,0
East Ham,London (Newham),London,0,47.1373842,16.57817225379988,20.273843055987236,0.0,2.8013082472677366,10.8379044,2.371387842945153,51.6,10.2,3.5,3.2,11.2,20.2,0,0
East Hampshire,Hampshire,South East,0,0.477679,6.971246430705882,7.576896422682938,25.59017746905633,32.814243744585355,8.426860900000001,18.14289603296948,9.9,36.9,12.9,34.4,4.8,1.0,0,0
East Surrey,Surrey,South East,0,1.546948,7.946754239731248,9.588145050331388,23.5016913065744,33.543268861695125,9.0395468,14.83364574166784,20.4,35.6,17.0,18.0,6.0,3.0,0,0
East Thanet,Kent,South East,0,1.6940442,8.145896656534955,11.011378619953934,38.97698337617072,13.51031168443363,0.8051468,25.85623866290676,39.9,23.6,20.1,3.2,10.7,2.4,0,0
East Wiltshire,Wiltshire,South West,0,0.6049284,9.305063337707098,13.53239854188098,20.4788917784264,20.838268471008075,14.7389367,20.501512770977442,25.7,35.7,16.7,17.4,3.9,0.6,0,0
East Worthing and Shoreham,West Sussex,South East,0,1.4313964000000001,7.636880422858273,7.8827701226966385,35.58942054635301,24.520529640026965,0.7739176999999999,22.165085168065115,45.1,25.7,14.6,6.5,6.6,1.6,0,0
Eastbourne,East Sussex,South East,0,2.2274453,8.696166447843096,11.738442467744878,38.091253805423,15.503136719223685,1.1883937,22.555161559765338,5.9,25.3,13.3,52.1,3.1,0.3,0,0
Eastleigh,Hampshire,South East,0,1.3424827000000001,8.001569961405114,8.82012764442807,32.086483241675694,27.34935374268042,1.5333582000000001,20.86662450981069,15.1,31.1,13.3,34.4,5.2,1.0,0,0
Edmonton and Winchmore Hill,London (Enfield),London,0,22.8226926,11.47314941504651,39.99992569262918,1.7764666393079835,12.37477249302811,4.9658381,6.587155059988228,50.0,19.2,8.5,6.6,9.0,6.7,0,0
Ellesmere Port and Bromborough,Cheshire; Merseyside,North West,0,0.8912806000000001,8.50255902261846,5.969761079628884,33.190719940359855,20.743972322630295,0.4867771,30.2149299347625,57.6,12.4,17.3,5.5,6.4,0.6,0,0
Eltham and Chislehurst,London (Bromley; Greenwich),London,0,5.4745517,9.852672453174954,21.559056752748944,21.76900164271281,24.994081599690887,3.828292,12.522343851672408,44.0,25.5,16.3,5.3,6.8,2.0,0,0
Ely and East Cambridgeshire,Cambridgeshire,Eastern,0,0.7111094,7.270222352715307,9.161031621965064,19.324127380291458,28.382441384451095,14.661539000000001,20.489528860577074,17.5,31.8,12.3,32.7,4.5,1.2,0,0
Enfield North,London (Enfield),London,0,17.7202569,11.77371494208865,36.19880099677959,3.948211357682567,14.880532115608535,6.1433966,9.335087087840654,49.1,19.8,11.8,5.8,8.5,4.9,0,0
Epping Forest,Essex,Eastern,0,4.220712799999999,8.732076296395206,13.528703381823139,21.22050019721982,28.461182402540942,9.3032949,14.533530022020905,29.6,43.2,0.0,12.6,6.0,8.6,0,0
Epsom and Ewell,Surrey,South East,0,4.1091064,8.540162980209532,11.54826063665345,27.585789742585916,30.66196091594417,5.5134844,12.041234924606918,15.3,31.2,10.6,37.9,3.2,1.8,0,0
Erewash,Derbyshire,East Midlands,0,0.46125560000000004,8.592848904267592,7.308739215143429,31.043951860435158,19.33668082297665,2.1810861999999998,31.075437397177172,40.1,26.4,21.3,5.6,5.8,0.8,0,0
Erith and Thamesmead,London (Bexley; Greenwich),London,0,8.7820166,11.79399791725837,45.06100916072404,7.308456450945613,12.771033747635242,4.513629,9.769857123436744,55.1,13.8,14.7,4.6,8.6,3.1,0,0
Esher and Walton,Surrey,South East,0,2.6328829000000002,7.069320521619761,11.844799835089221,23.08338469885615,36.9200432384197,7.5743143,10.875254506015164,5.3,30.3,8.9,52.6,2.6,0.4,0,0
Exeter,Devon,South West,0,2.2675425,28.004372405264522,11.633272030030874,25.65812338740541,13.32072426367808,1.2561753,17.859790113621116,45.3,15.6,12.2,10.5,14.7,1.6,0,0
Exmouth and Exeter East,Devon,South West,0,0.7224984999999999,8.31903945111492,7.718664701372158,31.43207459694912,23.791854760929716,5.823245,22.192622989634085,28.5,28.7,13.8,22.2,4.5,2.3,0,0
Fareham and Waterlooville,Hampshire,South East,0,0.6487263,7.608445204399652,6.398383710154391,32.9830089987217,25.397091936774945,3.4334232000000005,23.53092064994931,22.9,35.0,18.1,19.0,4.1,0.9,0,0
Farnham and Bordon,Hampshire; Surrey,South East,0,1.3742926,8.37576374745416,8.221197291160214,25.804616102878413,33.62294245204421,6.6329501,15.968237706463007,13.8,35.7,11.7,33.2,4.7,0.8,0,0
Faversham and Mid Kent,Kent,South East,0,1.092135,7.60690890355504,7.439256783429417,27.791300156108363,25.96471210658212,7.272641900000001,22.83304515032506,28.6,31.8,21.2,8.9,9.1,0.4,0,0
Feltham and Heston,London (Hounslow),London,0,17.787808,12.150290957923,31.935981536954614,6.3799833270627175,12.514854833349487,11.4706742,7.760407144710198,41.5,21.1,13.2,4.7,6.5,13.0,0,0
Filton and Bradley Stoke,Gloucestershire,South West,0,2.7976522999999998,15.162443144899191,12.745689706302267,26.190806336253843,23.581391034958184,2.8346294,16.687388077586505,45.5,25.6,13.5,7.1,8.2,0.0,0,0
Finchley and Golders Green,London (Barnet),London,0,10.9254957,9.346103369165558,22.76353413108089,0.0,15.262183231948734,36.0439937,5.65868986780482,44.3,35.1,5.3,6.8,6.3,2.2,0,0
Folkestone and Hythe,Kent,South East,0,1.1063682,7.4738650821757835,9.570137591684922,32.415038198028086,16.99931805648576,7.5367593,24.89851357162545,34.7,26.1,24.7,4.0,9.1,1.3,0,0
Forest of Dean,Gloucestershire,South West,0,0.2763185,8.000051872600897,5.408269769087832,23.26940720957529,23.20475667920271,13.538069799999999,26.303126169533265,34.0,33.5,17.0,5.4,9.8,0.2,0,0
Frome and East Somerset,Somerset,South West,0,0.2897544,8.494950037606092,6.667661081813668,25.037605124045953,24.8420574163677,9.1578169,25.510155040166588,13.7,23.9,13.8,35.5,10.9,2.2,0,0
Fylde,Lancashire,North West,0,0.6865393,6.422202776529566,8.557984307354861,31.54856479178929,26.75626112952772,5.0876028,20.94084489479856,32.0,33.2,17.3,4.4,3.3,9.8,0,0
Gainsborough,Lincolnshire,East Midlands,0,0.4025139,7.016173041623238,7.212633909898478,21.774130513465565,21.617341317685277,15.3120755,26.665131817327435,28.1,35.6,21.2,10.7,3.9,0.4,0,0
Gateshead Central and Whickham,Tyne and Wear,North East,0,2.8597381,10.39656230816451,10.749991604360773,30.138600664513717,16.54830463468581,3.3777744000000003,25.9290282882752,45.4,11.5,21.4,12.4,8.0,1.3,0,0
Gedling,Nottinghamshire,East Midlands,0,2.3624618,7.599898377672113,10.2066279070958,32.62100734066601,23.061896146181443,1.3861845000000002,22.761923928384647,47.8,23.4,16.9,5.1,6.4,0.5,0,0
Gillingham and Rainham,Kent,South East,0,2.9478458,9.867380459909953,14.561708591301088,33.434616983785645,15.733816426089238,1.5302814,21.92435033891407,37.8,28.2,21.4,5.5,5.6,1.5,0,0
Glastonbury and Somerton,Somerset,South West,0,0.3327425,7.594227083686415,7.13516550980645,18.66601790212681,24.023005415370328,17.994408200000002,24.25443338901,6.5,28.9,16.1,42.7,5.7,0.0,0,0
Gloucester,Gloucestershire,South West,0,5.1008049,11.390263767934341,12.367760387289461,31.161663561632338,14.980236741151591,0.9646512,24.034619441992273,36.1,28.5,16.0,10.4,5.0,4.0,0,0
Godalming and Ash,Surrey,South East,0,0.9069237000000001,7.355321097464579,8.602923045858052,26.73344503839118,33.1709110836035,7.852064700000001,15.378411334682689,5.0,42.6,8.8,41.0,2.3,0.4,0,0
Goole and Pocklington,East Riding of Yorkshire,Yorkshire and the Humber,0,0.6353719,7.275147323155312,6.790606717251397,23.498186596443574,24.759466979163797,11.558157099999999,25.483063383985925,31.0,38.2,18.2,6.8,4.9,0.9,0,0
Gorton and Denton,Greater Manchester,North West,0,28.3850822,12.4233181008969,18.487097091795718,12.174016920792099,12.324110616891595,0.5681654,15.638209669623674,50.8,7.9,14.1,3.8,13.2,10.3,0,0
Gosport,Hampshire,South East,0,0.5266329000000001,9.111669330897447,8.298570928418915,34.44277678530267,20.491446301049056,0.30334859999999997,26.825555154331923,26.6,40.3,18.0,9.1,4.4,1.6,0,0
Grantham and Bourne,Lincolnshire,East Midlands,0,0.5745673,7.034239183753539,7.909826538921154,28.49655837741767,21.585504061917018,8.1191207,26.280183837990613,26.6,36.4,20.4,4.4,5.6,6.7,0,0
Gravesham,Kent,South East,0,3.1113481,9.375483533094489,22.846108690460827,22.023126930586557,18.273972042822116,4.3858745,19.98408620303601,38.5,32.2,20.6,3.5,5.2,0.0,0,0
Great Grimsby and Cleethorpes,Lincolnshire,Yorkshire and the Humber,0,1.3143442,9.016771811047859,7.321049055756224,34.20847774358066,10.242699358510144,0.2503695,37.64628833110512,41.9,22.6,28.8,2.8,3.0,0.9,0,0
Great Yarmouth,Norfolk,Eastern,0,0.7248411,8.110976723520833,7.2717374117458045,31.187391720040367,12.204972098308106,7.3750938,33.12498714638489,31.8,24.6,35.3,2.7,4.3,1.3,0,0
Greenwich and Woolwich,London (Greenwich),London,0,9.0910639,11.12995205652281,44.161281776394084,5.634232157528345,16.921709260996256,6.159855599999999,6.901905248558497,56.2,11.4,7.7,9.0,13.2,2.5,0,0
Guildford,Surrey,South East,0,2.5300778,18.25567172101825,13.628561536597845,21.766108425306896,24.63430949072173,7.7478792,11.43739182635527,8.1,30.0,9.1,47.5,4.7,0.5,0,0
Hackney North and Stoke Newington,London (Hackney),London,0,13.4671621,12.3795211353544,40.34786800942312,0.0,12.231511762000961,14.3957753,7.178161693221526,59.5,8.4,3.1,3.8,22.6,2.5,0,0
Hackney South and Shoreditch,London (Hackney),London,0,13.3331556,12.30242360379342,50.83217747881072,0.0,13.808972335833293,3.9688327,5.754438281562561,59.3,5.0,3.8,4.8,23.9,3.2,0,0
Halesowen,West Midlands,West Midlands,0,7.7783758999999995,9.135302525011893,10.642877523146073,26.276095598528443,20.607464175631456,0.502477,25.05740727768213,38.9,27.6,22.0,5.9,5.6,0.0,0,0
Halifax,West Yorkshire,Yorkshire and the Humber,0,16.653188699999998,9.902580274557147,9.062402012501023,24.522039207092433,15.4933016062492,1.7122444000000003,22.654243799600206,35.1,19.6,19.4,5.9,10.3,9.7,0,0
Hamble Valley,Hampshire,South East,0,0.5695195,7.730684998887409,7.914080072116037,30.141597699093438,33.15430190365325,1.5456207000000002,18.944195126249866,16.2,36.4,15.2,27.5,4.3,0.3,0,0
Hammersmith and Chiswick,London (Hammersmith and Fulham; Hounslow),London,0,11.6027566,11.96110243773022,38.92853384366427,1.031608312987288,21.496195271765515,9.0429472,5.936856333852705,52.3,19.1,6.4,9.3,9.7,3.2,0,0
Hampstead and Highgate,London (Camden; Haringey),London,0,11.5029559,11.00197074992221,31.31346154822883,0.0,15.245557800375481,26.3424211,4.593632901473474,48.3,17.4,6.1,12.7,13.7,1.9,0,0
"Harborough, Oadby and Wigston",Leicestershire,East Midlands,0,6.830889399999999,9.91522471257694,13.874497362686423,14.97546132710022,25.85182021671654,11.342599,17.20950798091988,32.2,36.9,12.6,9.4,8.5,0.4,0,0
Harlow,Essex,Eastern,0,3.5313175,9.054102958472816,12.655250615651468,29.64177507460093,19.69999889285277,3.1785961,22.238958858422027,37.6,31.8,21.8,3.1,5.2,0.4,0,0
Harpenden and Berkhamsted,Hertfordshire,Eastern,0,1.0857569,6.842491041372564,9.434426399579275,19.61588102899313,40.47189537338286,10.5123438,12.037205456672165,7.5,30.5,7.8,50.2,3.6,0.4,0,0
Harrogate and Knaresborough,North Yorkshire,Yorkshire and the Humber,0,0.6769978999999999,7.399514940309393,10.212629366226032,32.58856898724581,26.766165327694655,2.9956684000000005,19.360455078524105,8.0,30.2,10.9,46.1,3.4,1.5,0,0
Harrow East,London (Brent; Harrow),London,0,15.0911658,10.4962270855542,19.429383129553607,0.0,15.49879658411276,35.8327782,3.651649200779426,28.9,53.3,4.6,3.2,4.2,5.9,0,0
Harrow West,London (Harrow),London,0,17.774995099999998,10.86249644352312,24.160553152976284,0.0,15.31883080681872,28.271798599999997,3.611325896681879,43.8,29.2,5.8,5.3,5.4,10.5,0,0
Hartlepool,County Durham,North East,0,1.313652,9.82228564016083,6.525403720078756,35.722803402862894,13.640263956141723,0.8896211,32.0859701807558,46.2,21.9,24.5,1.6,2.3,3.4,0,0
Harwich and North Essex,Essex,Eastern,0,0.8521569,9.237639015935684,8.253259173841123,20.964029381691972,24.293136062066175,12.963301000000001,23.43647846646505,32.0,34.4,20.4,7.4,5.8,0.0,0,0
Hastings and Rye,East Sussex,South East,0,1.7363596,7.72432769304938,11.19960120803154,36.19082733238705,15.362005735896027,3.8001982,23.986680230636008,41.6,22.8,16.1,5.6,12.5,1.4,0,0
Havant,Hampshire,South East,0,0.5304983999999999,8.081248477232208,5.927287814559408,35.70721536810454,21.807441775415693,0.7515894000000001,27.194718764688147,30.6,30.8,23.6,7.8,6.8,0.5,0,0
Hayes and Harlington,London (Hillingdon),London,0,19.9750006,13.95606854500356,36.95794500666092,0.0,9.585559925325162,12.9039486,6.621477323010354,53.3,21.9,10.7,3.4,5.6,5.2,0,0
Hazel Grove,Greater Manchester,North West,0,1.4134463,7.2989765607772314,5.970878279956352,33.90517445202448,28.962067878039285,0.6793859,21.770070629202657,23.5,19.6,15.1,37.7,3.8,0.2,0,0
Hemel Hempstead,Hertfordshire,Eastern,0,4.3679875,8.545198589837675,12.064488826431472,41.25314252944712,12.15219733013447,3.2651306,18.35185462414927,38.2,27.2,17.4,11.6,5.6,0.0,0,0
Hendon,London (Barnet),London,0,16.5422439,11.54318384179201,28.973770168412422,0.0,13.124968893783816,24.439704,5.376129196011761,38.4,38.4,7.4,4.8,6.5,4.6,0,0
Henley and Thame,Oxfordshire,South East,0,0.8095422999999999,7.137987627824768,9.212470195666906,15.83768601926937,34.06851373889979,17.291044,15.642756118339172,6.7,33.2,9.8,45.0,3.8,1.5,0,0
Hereford and South Herefordshire,Herefordshire,West Midlands,0,0.5420756,7.6665996582571045,8.037770232634154,32.433258419925906,18.269114838871705,6.2792184,26.77196285031113,29.8,32.6,18.4,11.7,7.0,0.5,0,0
Herne Bay and Sandwich,Kent,South East,0,0.7463893,7.625546889861116,7.345395096201888,33.05388012403931,22.08136379134234,3.9080194000000006,25.239405398555352,30.2,35.3,21.7,5.5,7.2,0.0,0,0
Hertford and Stortford,Hertfordshire,Eastern,0,1.4787273,7.529268348782099,11.377024001179032,29.968743826130847,30.13346655498603,3.3517795,16.160990468921995,38.5,29.7,15.4,7.7,8.1,0.5,0,0
Hertsmere,Hertfordshire,Eastern,0,3.5700797,8.62019711469789,15.03103118723151,3.808851893604924,29.438996951002384,27.2839967,12.246846453463284,28.0,44.7,13.7,7.7,4.7,1.1,0,0
Hexham,Northumberland; Tyne and Wear,North East,0,0.6353791999999999,6.888220563993497,7.834707464080951,23.77889645361219,26.722240638172003,12.790958400000001,21.349597280141346,46.3,39.1,0.0,4.6,4.8,5.3,0,0
Heywood and Middleton North,Greater Manchester,North West,0,10.4122991,9.576390533281824,10.4988699424638,26.743388294974267,18.07465150263185,0.6303024,24.064098226648262,40.6,17.3,24.2,6.2,0.0,11.7,0,0
High Peak,Derbyshire,East Midlands,0,0.2628251,7.054075004677758,6.967789261115949,28.980642169489386,25.020748701440283,6.1351,25.578819763276627,45.8,29.7,14.1,3.5,6.9,0.0,0,0
Hinckley and Bosworth,Leicestershire,East Midlands,0,0.6484413,7.428312559688513,7.149449957365399,26.73375033979937,25.568183603371143,6.3253349000000005,26.14652733977557,18.0,35.6,18.4,24.3,3.2,0.4,0,0
Hitchin,Bedfordshire; Hertfordshire,Eastern,0,1.5124347999999999,7.391807679992102,12.42826282162046,24.417178264881898,29.300259462703636,8.6842739,16.265783070801895,43.9,28.5,12.9,9.4,5.0,0.3,0,0
Holborn and St Pancras,London (Camden),London,0,19.7159053,25.385845202144132,32.38728552936662,0.0,11.960984096616464,5.4332821,5.116697771872788,48.9,7.2,6.1,5.8,10.4,21.5,0,0
Honiton and Sidmouth,Devon,South West,0,0.3589,6.092326615331381,6.5555461102533865,23.39597183106312,24.64931092207955,15.154197300000002,23.79374722127256,5.8,32.2,12.4,45.4,2.8,1.4,0,0
Hornchurch and Upminster,London (Havering),London,0,4.0041669,9.149182798191722,14.589902742468631,27.612830490381157,24.112237092326335,3.656423,16.875256976632155,27.6,32.5,28.4,5.1,5.6,0.8,0,0
Hornsey and Friern Barnet,London (Barnet; Haringey),London,0,7.603224,8.562326256488463,32.05664854795122,10.095907578095918,25.57785075328244,9.5018816,6.60216126418196,58.7,8.2,4.1,12.5,14.5,1.9,0,0
Horsham,West Sussex,South East,0,1.0925963,7.235269301082821,9.326746193225866,26.135514502008306,31.097051045961237,8.1863759,16.926446757721763,10.8,34.4,11.0,39.0,3.9,0.9,0,0
Houghton and Sunderland South,Tyne and Wear,North East,0,0.3683791,8.442646156749854,4.8342354246659465,36.27774226445469,17.419457444787284,0.48650000000000004,32.17103960934222,47.1,13.8,29.1,5.7,4.3,0.0,0,0
Hove and Portslade,East Sussex,South East,0,3.3948885,9.594329028635595,19.543258366821753,27.960545863234785,22.80921965253329,3.0446151,13.653143488774571,52.4,12.8,8.8,5.9,14.3,5.9,0,0
Huddersfield,West Yorkshire,Yorkshire and the Humber,0,21.5722675,12.89578482362414,17.62910066978778,16.8469551108099,13.814366654565529,0.7547908999999999,16.486734341212657,37.6,16.3,15.4,4.3,26.3,0.0,0,0
Huntingdon,Cambridgeshire,Eastern,0,1.914673,7.514558634833238,10.38961711492678,25.19639687769984,23.77803118880491,11.094581100000001,20.112142083735232,32.2,35.1,15.4,9.3,5.8,2.2,0,0
Hyndburn,Lancashire,North West,0,14.8203688,10.31451994324451,7.242338523128058,24.13323344770346,15.73442035910987,1.8608055000000001,25.894313426814094,33.5,28.9,20.7,3.3,13.6,0.0,0,0
Ilford North,London (Redbridge),London,0,30.558508200000002,11.86376377853184,21.320184519396683,0.0,13.373863539431637,18.7746717,4.109008262639836,33.4,20.5,7.7,2.3,3.8,32.2,0,0
Ilford South,London (Barking and Dagenham; Redbridge),London,0,41.3951175,14.35132258446007,25.039661565327606,0.0,4.359491960983077,12.0790541,2.7753522892292404,40.2,14.9,5.7,3.3,8.3,27.7,0,0
Ipswich,Suffolk,Eastern,0,4.011496299999999,9.75571298246404,14.301284196030787,31.75196613224375,14.603955752976901,2.1618024,23.413782236284522,43.3,26.5,15.9,5.1,8.3,0.8,0,0
Isle of Wight East,Isle of Wight,South East,0,0.33608129999999997,6.288503216778429,7.337687887470011,31.744331178011166,19.106493489151692,7.1514481,28.035454828588705,18.4,30.6,20.8,10.4,18.5,1.2,0,0
Isle of Wight West,Isle of Wight,South East,0,0.5054069999999999,6.933511974543616,7.404181105660469,31.88461789619521,16.813228409981065,9.3879973,27.071056313619636,38.6,29.3,17.0,7.9,6.7,0.3,0,0
Islington North,London (Islington),London,0,12.4304588,12.606236906945659,42.55449400937397,2.475371884400971,17.46422081868831,5.7881441,6.681073480591083,34.4,4.0,3.5,3.4,5.4,49.3,0,0
Islington South and Finsbury,London (Hackney; Islington),London,0,11.3965642,16.42589464282241,41.38071690151356,0.0,18.751440946709906,5.724119399999999,6.3212639089541405,53.7,8.4,7.9,9.5,17.5,3.0,0,0
Jarrow and Gateshead East,Tyne and Wear,North East,0,1.4225736,8.90921941259618,5.689199207739764,34.69402182016853,16.706889520921198,0.1864461,32.39165033857432,51.3,9.1,26.9,4.7,6.5,1.4,0,0
Keighley and Ilkley,West Yorkshire,Yorkshire and the Humber,0,15.7395854,8.830377707575527,8.252033484010912,22.85835391014153,19.687325631471488,3.9029222,20.72940166680055,36.7,40.3,10.4,2.1,5.3,5.3,0,0
Kenilworth and Southam,Warwickshire,West Midlands,0,0.7718751,8.77999676886176,8.325632409137372,15.089214462187243,35.71101033200224,15.616355700000002,15.705915227811378,24.0,36.4,13.0,19.6,5.9,1.1,0,0
Kensington and Bayswater,London (Kensington and Chelsea; Westminster),London,0,12.58166,12.35223268055487,30.361602931938222,0.0,11.958377024516937,28.6887799,4.057347462989973,40.6,33.7,6.0,6.9,6.5,6.2,0,0
Kettering,Northamptonshire,East Midlands,0,1.4086799,8.392775158729254,11.42849254679008,30.506899141482805,18.143663477407436,5.0711302,25.048359575590432,35.9,28.2,16.9,2.7,13.9,2.4,0,0
Kingston and Surbiton,London (Kingston upon Thames),London,0,6.9416332999999995,12.38960652039751,20.23947715901487,18.81037906865447,24.97887569024721,7.143462799999999,9.49656546168595,13.0,17.0,9.4,51.1,5.9,3.6,0,0
Kingston upon Hull East,East Riding of Yorkshire,Yorkshire and the Humber,0,1.1505162,9.612921051970533,6.063946464954638,33.226707750152855,12.126697522989463,0.2992911,37.519919909932504,43.8,9.1,30.6,10.9,5.6,0.0,0,0
Kingston upon Hull North and Cottingham,East Riding of Yorkshire,Yorkshire and the Humber,0,4.5757972,13.33347307523001,11.281908683302964,33.42816355611188,10.017353188519131,0.4134057,26.949898596836007,48.3,12.8,20.4,8.5,6.1,3.9,0,0
Kingston upon Hull West and Haltemprice,East Riding of Yorkshire,Yorkshire and the Humber,0,3.1649548999999997,8.509881740287433,10.146392155842847,32.23112673187093,16.065201614975148,0.3439214,29.538521457023634,46.8,18.1,23.3,6.9,4.6,0.3,0,0
Kingswinford and South Staffordshire,Staffordshire; West Midlands,West Midlands,0,0.4732699,7.259382282821238,6.668976348883426,30.960468377823616,27.452143150949095,3.8928241,23.292935839522634,26.3,40.3,22.0,4.6,4.6,2.2,0,0
Knowsley,Merseyside,North West,0,0.5555496,9.552631236414271,5.998903385954923,37.270019508383974,14.513671765516966,0.2713831,31.837841403729865,67.3,4.2,16.4,3.4,7.7,1.1,0,0
Lancaster and Wyre,Lancashire,North West,0,2.4350951,19.60436398513365,8.72770663833474,22.06782729827023,17.971388251482253,9.5943499,19.599268826779134,44.9,23.4,16.0,3.6,12.2,0.0,0,0
Leeds Central and Headingley,West Yorkshire,Yorkshire and the Humber,0,9.937759699999999,45.62886658391881,23.002680624311807,2.773102154443393,7.4489415455230255,2.3250785,8.883570891802966,50.2,7.1,7.6,8.3,23.5,3.4,0,0
Leeds East,West Yorkshire,Yorkshire and the Humber,0,12.7115106,11.675518533012779,14.877380179699646,20.256214206069842,17.1873759722553,1.8855393999999999,21.406461108962443,47.2,17.5,18.6,3.7,8.9,4.0,0,0
Leeds North East,West Yorkshire,Yorkshire and the Humber,0,13.553753399999998,9.298061812467251,23.359103456805542,11.067112270732935,25.502822118827794,6.5067956,10.712351341166483,51.5,15.9,7.6,4.8,13.1,7.1,0,0
Leeds North West,West Yorkshire,Yorkshire and the Humber,0,2.125755,8.63949179460031,8.816791636382975,26.585146980076274,34.05616026611916,2.6791026000000002,17.097551722821294,46.0,22.1,11.9,11.3,6.5,2.2,0,0
Leeds South,West Yorkshire,Yorkshire and the Humber,0,12.0765335,14.46394075981969,26.678580318105006,15.720196547388525,9.725811034240198,1.2886887999999999,20.046249040446583,53.2,8.3,12.4,4.2,18.1,3.8,0,0
Leeds South West and Morley,West Yorkshire,Yorkshire and the Humber,0,1.7069553000000002,9.164538114980282,9.636811280246482,28.519510925711444,24.494779722370776,1.7032831,24.774121556691014,44.0,23.0,20.4,4.5,6.3,1.9,0,0
Leeds West and Pudsey,West Yorkshire,Yorkshire and the Humber,0,5.7777645,9.962025632697904,14.07495515650722,26.192656811894835,19.514641821968866,1.1113149,23.366641176931175,49.3,17.1,16.3,4.5,9.9,2.9,0,0
Leicester East,Leicestershire,East Midlands,0,25.6367472,14.166675218323672,13.006389204023499,0.0,2.823886482143081,37.5887379,6.777563995509749,21.6,31.1,5.6,13.5,4.6,23.6,0,0
