Seat,County,Region, ,Muslim,Left,Progressives,Average,Liberal,Blues,Reforms,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Birmingham Erdington,West Midlands,West Midlands,0,14.217760300000002,12.19906234161178,21.936657395960758,18.955696908056495,12.458697807392964,1.2060834,19.026041846977986,43.7,16.0,22.9,3.3,7.3,6.8,0,0
Birmingham Hall Green and Moseley,West Midlands,West Midlands,0,54.4220703,14.65256287627296,14.131048899486146,0.0,7.907182256660215,2.9770328999999998,5.910102767580678,30.8,9.2,5.5,11.3,9.4,33.7,0,0
Birmingham Hodge Hill and Solihull North,West Midlands,West Midlands,0,37.4858946,14.712507806227098,13.967926806887965,11.000158903722053,6.890834753487138,0.4015294,15.541147729675732,31.2,13.6,18.9,2.8,6.9,26.6,0,0
Birmingham Ladywood,West Midlands,West Midlands,0,48.9382017,25.28304266927373,19.044643051063517,0.0,0.0,2.8878152999999998,3.846297279662755,42.5,6.1,4.0,4.7,9.5,33.2,0,0
Birmingham Northfield,West Midlands,West Midlands,0,5.263109099999999,10.760245256040509,15.02539306158051,26.49514795767621,18.77858961069335,0.8517133,22.825801714009422,39.6,25.3,21.0,4.8,7.5,1.8,0,0
Birmingham Perry Barr,West Midlands,West Midlands,0,42.8900852,15.801712522275748,29.45541217097587,0.0,3.4540094035506206,3.3817706000000003,5.017010103197756,34.1,11.3,6.5,3.5,6.5,38.1,0,0
Birmingham Selly Oak,West Midlands,West Midlands,0,12.900836199999999,23.7964425520225,17.117555272590508,15.258649443220534,14.500880732831211,2.2816293,14.144006499335248,45.2,15.2,14.9,6.0,11.2,7.4,0,0
Birmingham Yardley,West Midlands,West Midlands,0,42.557502400000004,14.417511488406321,15.84313386544776,1.5832724861949714,11.989346801869402,1.4658943999999998,12.143338558081547,31.2,10.1,14.0,10.1,5.4,29.3,0,0
Bishop Auckland,County Durham,North East,0,0.29474229999999996,8.8116264335863,6.335557794023536,22.199266258597362,16.3389472739007,14.180895600000001,31.83896433989211,42.1,25.6,23.4,3.4,4.6,0.8,0,0
Blackburn,Lancashire,North West,0,46.7578219,13.25303998052557,7.458824742832892,7.621654086227807,10.544901475945306,0.4563538,13.907404014468415,26.7,8.9,12.5,1.8,3.6,46.5,0,0
