Seat,County,Region, ,Muslim,Left,Progressives,Average,Liberal,Blues,Reforms,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Falkirk,Falkirk,Scotland,,1.5015046,9.01151401018692,4.407980581654732,37.30637769269087,18.87436779065823,0.18822099999999997,28.710034324809246,43.0,8.4,7.9,2.6,4.0,2.8,31.3,0
Glasgow East,Glasgow City,Scotland,,9.1138885,12.14504874841551,13.420227045069426,25.02240182608,17.533908560888214,1.8185648,20.945960519546848,43.9,4.8,6.7,2.5,7.7,1.3,33.2,0
Glasgow North,Glasgow City,Scotland,,6.8226192,26.21949414307277,17.514687367497437,18.270049512887454,13.739860574327077,3.6912817999999996,13.742007402215274,42.2,3.9,4.8,3.3,12.2,1.6,32.0,0
Glasgow North East,Glasgow City,Scotland,,5.0594627,14.248443843031081,12.752854934627166,30.3168825148864,10.066287113838614,1.1490657,26.40700319361674,45.9,3.5,6.7,1.7,7.2,2.7,32.3,0
Glasgow South,Glasgow City,Scotland,,7.6656424,8.156646583771295,12.219069839523451,28.769224616399924,23.234979069276463,0.7840606999999999,19.17037679102887,41.8,3.8,4.1,3.1,13.1,2.2,32.0,0
Glasgow South West,Glasgow City,Scotland,,14.2618147,11.42149798618038,10.944484756274186,27.08925082326691,14.489602705859037,1.1939399,20.599409128419484,43.6,3.9,6.3,2.7,7.6,1.5,34.4,0
Glasgow West,Glasgow City,Scotland,,5.1995236,13.63610219599449,14.669755650331993,30.448864273331807,17.287791479277562,1.607119,17.150843801064152,46.7,4.3,5.3,3.3,9.2,0.8,30.5,0
Glenrothes and Mid Fife,Fife,Scotland,,0.8622271000000001,9.326851556688972,4.049901590189865,36.58391129668687,13.765293174474689,0.1586499,35.253165381959604,44.3,5.5,9.8,4.4,0.0,0.0,36.1,0
Gordon and Buchan,Aberdeenshire,Scotland,,0.4897244,7.611818921116827,4.574549942452858,34.71294348324993,26.199585206962247,1.1610851,25.25029294621814,10.7,32.8,9.1,16.6,0.0,0.0,30.8,0
Hamilton and Clyde Valley,South Lanarkshire,Scotland,,1.1802409999999999,9.149702085402174,5.139116860793576,35.92479607265531,19.878451653120692,0.3132518,28.414440528028244,49.9,10.9,7.8,3.6,0.0,0.3,27.4,0
Inverclyde and Renfrewshire West,Inverclyde; Renfrewshire,Scotland,,0.6241116,8.493999539987264,5.034127431190226,37.51310951652239,19.45814819816684,0.18882,28.687683714133286,46.9,7.1,6.1,3.1,2.9,2.7,31.1,0
"Inverness, Skye and West Ross-shire",Highland,Scotland,,0.6752124,8.494797687861261,5.607122927347028,37.79443709796571,20.001443596310143,0.2666346,27.160351690515856,13.2,5.3,4.3,38.5,4.3,0.4,33.9,0
Kilmarnock and Loudoun,East Ayrshire,Scotland,,0.6548713,8.674402071802156,4.478885165231111,39.87093645845402,16.194391091404402,0.1044,30.02211391310831,44.9,8.3,8.2,2.0,2.9,0.9,32.8,0
Livingston,West Lothian,Scotland,,2.1005853,9.3817774494149,5.423375662230968,33.35420273780079,22.53688700309292,0.6078469,26.59532494746042,40.9,7.7,8.9,4.5,3.8,1.2,33.0,0
Lothian East,East Lothian,Scotland,,0.7173675,8.662142094475996,4.461765705287541,36.131246772715905,25.540136447981467,0.2172968,24.270044679539094,49.2,11.1,6.3,5.5,5.2,1.2,21.5,0
Mid Dunbartonshire,East Dunbartonshire; North Lanarkshire,Scotland,,1.4333647999999999,7.678842338662608,4.641410506474747,34.23587153763748,34.88192275894969,0.9604822000000001,16.168105858275467,20.8,4.7,4.0,42.4,3.3,0.9,24.1,0
Midlothian,Midlothian,Scotland,,1.2048567,8.54303797468353,4.412506392713359,35.95947052720366,23.709813517610712,0.3418413,25.828473587788736,48.6,7.4,7.4,5.9,0.0,0.6,30.1,0
"Moray West, Nairn and Strathspey",Highland; Moray,Scotland,,0.3030641,8.164005366920899,5.8074818574269775,35.381651856949375,20.908956562781228,0.1611456,29.27369465592152,17.7,30.0,7.5,8.1,3.6,0.9,32.1,0
"Motherwell, Wishaw and Carluke",North Lanarkshire; South Lanarkshire,Scotland,,1.8872956,9.637332932872791,4.9043101444704345,39.05293300323031,15.487982947762443,0.1456588,28.884486571664027,49.1,6.2,7.7,2.1,3.1,0.9,31.0,0
Na h-Eileanan an Iar,Na h-Eileanan an Iar,Scotland,,0.2218907,6.421509747759389,2.5709255160253504,40.17372759552782,18.89500594174378,0.061200000000000004,31.65574049894366,49.5,4.8,5.2,2.8,0.0,16.7,21.1,0
North Ayrshire and Arran,North Ayrshire,Scotland,,0.3955636,8.689872675380862,4.412102551101041,36.00531017938868,20.008071813652197,0.0886,30.400479180477223,39.8,14.1,8.1,2.4,3.1,1.1,31.4,0
North East Fife,Fife,Scotland,,0.656633,16.329756473687553,7.026626774761965,30.707371485914678,23.41584035395233,0.9464237,20.91734821168347,9.4,3.9,4.9,54.7,3.9,0.0,23.2,0
Orkney and Shetland,Orkney Islands; Shetland Islands,Scotland,,0.1735223,7.18450305143853,3.672951296771409,39.96199627608619,17.511560866066297,0.0867,31.408766209637573,7.2,2.8,7.7,55.1,9.9,0.0,17.3,0
Paisley and Renfrewshire North,Glasgow City; Renfrewshire,Scotland,,2.4562985,8.687465010942026,7.1844313781109985,31.175076113532697,24.84158093082454,0.593425,25.06172306658974,47.1,6.4,7.8,3.3,3.5,0.0,31.9,0
Paisley and Renfrewshire South,Renfrewshire,Scotland,,1.1582805999999999,9.839474551771348,6.837364745023431,36.47393940051122,18.09872836243383,0.2964958,27.295716540260173,47.4,5.4,7.2,3.2,4.2,1.0,31.6,0
Perth and Kinross-shire,Perth and Kinross,Scotland,,0.7679223,8.18761843083639,7.039845963601678,36.10646233419436,23.850638966754673,0.2772319,23.7702801046129,18.0,29.6,5.9,7.4,0.0,1.4,37.8,0
Rutherglen,South Lanarkshire,Scotland,,2.5765496999999997,8.776535493929973,5.289714460479497,33.94151132122049,23.298963872430786,0.427815,25.688910151939265,50.5,5.7,6.3,4.0,0.0,3.6,29.9,0
Stirling and Strathallan,Perth and Kinross; Stirling,Scotland,,0.9773742999999999,12.73290104710188,6.89713263180898,32.46471080038934,25.92228900591664,0.5235269,20.48206531478316,33.9,19.0,6.3,5.1,4.7,0.0,31.1,0
West Aberdeenshire and Kincardine,Aberdeenshire,Scotland,,0.5611868,7.343936534832666,5.982452516059817,30.962538355048963,32.51659895786736,1.3242398,21.3090470361912,13.1,35.6,7.1,13.0,2.1,0.6,28.6,0
West Dunbartonshire,Glasgow City; West Dunbartonshire,Scotland,,0.8441218,9.058173961750818,4.511532187899675,38.83548907931562,15.37149901574421,0.1552896,31.22389435528968,48.8,3.7,7.0,2.1,3.8,1.0,33.6,0
