Seat,Nation,County,Region,DominantHandTribe,Archetype_1,Archetype_2,Archetype_3,Archetype_4,Archetype_5,Hand_Muslim,Hand_Left,Hand_Progressives,Hand_Average,Hand_Liberal,Hand_Blues,Hand_Reforms
Aldershot,england,Hampshire,South East,Average,2.3942947632214495,25.464832381859033,26.997868963785347,34.871805199815306,10.271198691318864,2.2302648,9.601583515200716,12.038584300145882,26.4668181149452,23.589032921867243,6.402711699999999,19.671004647840974
Aldridge-Brownhills,england,West Midlands,West Midlands,Average,8.91793965126218,46.26604777188307,2.0691806734743468,36.74640127226823,6.00043063111217,2.2039186,8.258832976445381,11.961245363287087,27.86002344707052,23.581030353573095,1.3751106000000002,24.75983865962392
Altrincham and Sale West,england,Greater Manchester,North West,Liberal,7.430342734459269,8.703835830635265,17.240944901988335,51.23361972508362,15.391256807833514,6.405810300000001,7.912408006495922,10.851632474267468,16.90653263441068,38.5400832894459,7.2261884,12.157344895380032
Amber Valley,england,Derbyshire,East Midlands,Reforms,0.0,58.678341751791606,0.0,30.532659050848597,10.788999197359802,0.2424712,7.696986525976158,5.337383742933991,30.74954658286613,18.515733710723467,3.9505322,33.507346037500255
Arundel and South Downs,england,West Sussex,South East,Liberal,0.0,28.30730938310359,4.9321327631816,57.655544670110714,9.105013183604104,0.2634395,6.836464413596888,7.393255370169832,16.297449678482963,31.96866841944376,19.5726533,17.66806931830655
Ashfield,england,Nottinghamshire,East Midlands,Reforms,0.874847807899668,66.9971948969115,0.0,22.43199020731985,9.695967087868999,0.6293346,8.516195771642842,6.20577270424171,34.392197182309644,13.699035932945968,1.4346389,35.12282490885984
Ashford,england,Kent,South East,Average,3.626650775983277,40.4548707707581,10.660522680742151,33.95410019978778,11.303855572728699,1.885503,8.523884599008003,11.554827434543244,29.34204157112194,18.989074225438,7.8923325,21.81233666988881
Ashton-under-Lyne,england,Greater Manchester,North West,Average,11.30990850692343,54.86868511870284,3.2220564335411255,17.84283370939598,12.756516231436626,10.5627749,9.792277493415478,10.16454161714299,30.00035505445697,12.188734358014193,2.5520212,24.73929537697037
Aylesbury,england,Buckinghamshire,South East,Average,9.852412136520329,31.481413317815182,9.91050008227882,35.756172195445934,12.999502267939741,8.715194,8.284727207465876,12.056770847626204,24.68079993268032,20.738888906661654,8.5906761,16.932943005565956
Banbury,england,Oxfordshire,South East,Liberal,2.1633993868349886,39.99826236519989,11.844093455978586,36.297015362676596,9.697229429309926,3.7180534,7.880454103761285,10.529536895770022,21.180471919846525,24.021172983764675,10.3280444,22.342266296857492
Barking,england,London (Barking and Dagenham),London,Progressives,26.72794098718645,35.549100384763896,25.238850858076933,0.0,12.48410776997273,27.5624738,13.15387270127694,34.01778863681714,3.362734621128766,10.754109370546288,3.4540562999999995,7.69496457023089
Barnsley North,england,South Yorkshire,Yorkshire and the Humber,Average,0.1783523163396859,69.47124768556438,2.621225372747696,20.77481915784967,6.9543554674985675,0.5789474,8.395561693859866,6.317744101264008,34.458126285376295,13.914362597064631,2.2161627,34.119095222435206
Barnsley South,england,South Yorkshire,Yorkshire and the Humber,Reforms,0.0,73.58551578957385,4.450798130846652,16.206502198829245,5.757183880750242,0.6036332,8.620689655172404,6.459222332214579,34.840088441710364,13.537846017617609,0.5535668,35.384953553285044
Barrow and Furness,england,Cumbria,North West,Reforms,0.0,51.614197187831564,0.0,37.18209112611249,11.203711686055948,0.4013425999999999,8.215921537389221,5.996353986760197,27.727123856137094,20.11180275172424,6.436544500000001,31.11091076798924
Basildon and Billericay,england,Essex,Eastern,Average,3.673652504691126,50.15122143844475,10.43192318366138,28.65706112594179,7.086141747260963,1.8574878,9.26084271531042,11.27853759911659,30.356308760012624,23.015291678268568,1.9647904,22.266741047291795
Basingstoke,england,Hampshire,South East,Average,2.4310381896604087,34.86682873397115,13.703793064358177,34.195266532310384,14.803073479699894,2.0085979,8.3703114996578,11.44282469884658,26.25858349571328,26.01448389103808,5.303784,20.601414514744278
Bassetlaw,england,Nottinghamshire,East Midlands,Reforms,0.0,61.92515933473665,3.929523901602463,28.338460543334172,5.806856220326717,0.6314658,7.616574460878383,6.52817256446471,27.66589588739473,18.463421075849645,6.881138000000001,32.21333221141254
Bath,england,Somerset,South West,Left,1.9008290489771935,11.246830302585959,2.475938343784022,41.84847901490142,42.5279232897514,1.5144857,25.70682856886815,13.785170754537118,23.66191421063036,20.011893167006416,2.1027524,13.216955198957958
Battersea,england,London (Wandsworth),London,Progressives,0.0,0.0,41.6315694925967,27.761573022817075,30.606857484586225,8.5611438,10.50122779141989,42.07286673023057,0.0,24.796803039720157,7.8914756,6.176483038629381
Beaconsfield,england,Buckinghamshire,South East,Liberal,10.233528234879492,14.010789981374527,14.143500962122651,50.58882057975502,11.023360241868305,3.6269967,7.230360879995898,16.179127003283917,16.55638729516076,35.49623687684743,8.0621789,12.848712344711984
Beckenham and Penge,england,London (Bromley),London,Liberal,3.8530608173225374,8.420013472401559,25.67649797145153,42.90692359075916,19.143504148065198,4.1577228,7.118224320696193,25.155436919118397,19.78140090994488,30.83290815517581,3.4806347,9.473672195064724
Bedford,england,Bedfordshire,Eastern,Average,13.46955327908502,38.42948271094888,15.493365473082957,19.13607754692662,13.471520989956526,10.1722351,9.844723300532634,19.601181836382004,26.69640644620345,15.404774296349675,2.0260808,16.254598220532237
Bermondsey and Old Southwark,england,London (Southwark),London,Progressives,2.767083284478218,0.35937010160939575,39.47920065480323,13.483816883100278,43.91052907600888,9.741508,16.6045192338336,48.19502965324666,0.0,15.355828091765634,4.2853677,5.817747321154102
Bethnal Green and Stepney,england,London (Tower Hamlets),London,Muslim,32.752539129345855,0.0,9.38224693484402,1.483589229018795,56.38162470679132,46.6155982,19.46252053637802,19.93036082392481,0.0,4.764863291513559,5.2545244,3.972132748183594
Beverley and Holderness,england,East Riding of Yorkshire,Yorkshire and the Humber,Average,0.0,44.44454608076495,0.0,46.12389245610549,9.431561463129562,0.3999820999999999,7.025721150689962,6.493212066553758,29.27180985012663,20.526104076081296,10.6415738,25.64159695654836
Bexhill and Battle,england,East Sussex,South East,Average,0.0,38.41187510627699,1.2938296375032652,52.134663519803794,8.159631736415957,0.5768215999999999,6.595514267447773,6.999631534458233,29.724689245918512,24.874729496332176,9.720633,21.507980855843304
Bexleyheath and Crayford,england,London (Bexley),London,Average,9.256568078376118,33.04379301105576,15.267221958803592,33.882850129082414,8.549566822682124,3.7055431,9.518486888375346,20.087695843292163,23.344813119441,23.301689091567503,3.6896867,16.352085257323996
Bicester and Woodstock,england,Oxfordshire,South East,Liberal,0.9994063896374056,29.703206156596035,12.47631109336389,43.77133881079793,13.049737549604739,1.6340935,7.609868288461294,11.153636217314444,21.88958499544316,27.625899074936427,10.6782193,19.40869862384467
Birkenhead,england,Merseyside,North West,Average,1.1489004284694861,56.29671947544268,6.195521772374066,23.539565915218898,12.819292408494858,1.8304532,9.758331980425346,9.482783464244168,36.03292974365745,14.460009776816875,0.5604106000000001,27.87508123485616
Birmingham Edgbaston,england,West Midlands,West Midlands,Progressives,21.01097526301893,18.097159844326743,15.966598656724464,16.638259708568278,28.28700652736158,16.244704300000002,16.19578846221442,29.735901600636875,6.954813585880601,15.657227136528713,4.7030542,10.508510714739398
Birmingham Erdington,england,West Midlands,West Midlands,Progressives,14.620667066386872,53.90752748712219,17.524268844433045,4.2831653215926515,9.664371280465229,14.217760300000002,12.19906234161178,21.93665739596076,18.955696908056492,12.458697807392964,1.2060834,19.026041846977986
Birmingham Hall Green and Moseley,england,West Midlands,West Midlands,Muslim,49.75093471831356,6.452817634695069,0.0,12.777748178223142,31.018499468768233,54.4220703,14.65256287627296,14.131048899486146,0.0,7.907182256660215,2.9770329,5.910102767580678
Birmingham Hodge Hill and Solihull North,england,West Midlands,West Midlands,Muslim,32.82674481825177,51.04967374897825,0.0,0.0,16.123581432769978,37.4858946,14.712507806227098,13.967926806887965,11.000158903722053,6.890834753487138,0.4015294,15.541147729675732
Birmingham Ladywood,england,West Midlands,West Midlands,Muslim,39.35655004031078,4.22746761612544,11.651854034430663,0.0,44.76412830913313,48.9382017,25.28304266927373,19.04464305106352,0.0,0.0,2.8878153,3.846297279662755
Birmingham Northfield,england,West Midlands,West Midlands,Average,5.915151662398066,53.36020293767388,15.444823565866367,15.476443914580726,9.803377919480962,5.263109099999999,10.760245256040507,15.02539306158051,26.49514795767621,18.77858961069335,0.8517133,22.825801714009422
