PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,Seat,GMM_label
-1.632564001408099,-2.247629761765329,-1.3030094687905986,0.7461415126417984,3.0921769857912014,-0.19586490751082533,-1.5271183551993772,2.2582783245768137,-1.3726281594343337,-4.0892113548130045,-3.023698257015955,5.312825738084568,Aldershot,3
1.7440292626969855,1.7737377000330188,-1.8001896383280682,0.08678641875960871,0.9621522212246326,-0.8422488008366777,-0.5900826039953186,-0.7637892327721506,-0.05702710117031177,0.7984695741363953,0.9087693183747965,-0.8854185642044275,Aldridge-Brownhills,2
-1.0979620818297477,-2.60518050557625,-3.004832705850775,-0.4764031154317032,-1.162270115724628,-0.1819052395028393,0.21805245724942685,-1.776936163041205,0.3628379447594823,0.4595351345072737,1.2086255079161805,0.25687726638835073,Altrincham and Sale West,2
3.083338733803945,1.1516257740793774,1.1431226610678915,-0.005425394446763931,0.43612548172156324,0.13122554083588434,0.48436835993359334,-0.2743629481775147,-0.5813316164005055,0.33451778551861144,-0.3346846724866479,0.07337959365788188,Amber Valley,1
3.32931405963481,-2.1956230291688117,-1.9850875574109297,-0.05118134004888113,-0.4382009789927371,0.5965059018685493,-0.832636908846694,0.27268338683592236,-0.1630387394457908,-0.012149381734877555,-0.06157434147521931,-1.0009170977126807,Arundel and South Downs,5
2.5792169372528724,2.1435171447030474,1.8589295043304432,0.28626843869275914,0.6266666711022825,0.141368531465567,0.9381871343655271,0.0012829387464658576,-0.19434352434481128,0.42229634374434477,-0.45912450639248803,0.7935897324170326,Ashfield,1
0.4760268690497348,-0.19650500173621624,-0.20640571416299894,0.29744182853291345,0.5760671619291221,-0.43283917341396955,0.36311141218905535,0.9393868925797695,0.2824994304084266,-0.9072883533222895,-0.7927972228127422,1.9714110286148694,Ashford,4
-0.44424215667903094,2.883713309500209,1.0581259660601134,0.18734265274070167,-0.49066609955610874,0.08229511300021052,0.5342890891980323,0.619438075741523,0.8954405317862489,0.15408124566841783,0.18399210892022672,0.5664917153686369,Ashton-under-Lyne,4
-0.6052537649092123,0.28141260840508087,-1.114611922912163,-0.1843846984839824,-1.0001953358725717,-0.6498501792450114,0.9646706731101727,0.5853014914709808,1.2044120765690964,-0.03526062759807157,-0.4526405951661298,0.7816801504537128,Aylesbury,2
0.9093413717813243,-0.38982778339424656,-0.6216281620951737,0.5947048208542101,-0.362278062044373,-0.12247499306933861,-0.43271236845005906,-0.5050191760933765,-0.4568727799348636,-0.08840776373536616,-0.380862472743436,0.5782072091021205,Banbury,4
-6.994828342047095,4.107568836132805,-0.5383075818162218,1.727425315215621,-2.7789162616748957,-1.3651640642208158,-0.9138612887295793,1.7432260544627365,-1.3664986854035113,-0.28957044290606504,0.6912373957296042,-0.05649703439340606,Barking,3
2.454348024579568,2.132875561122899,1.7342753743251513,1.1119863088930042,0.45738135866510143,0.20509308842746693,0.13962245580176388,0.00031820349426741874,0.12341302330090015,0.5609219450601121,0.2234284179339399,0.6168767604014426,Barnsley North,1
2.250704240319311,2.4937619252501593,1.9676971986733525,1.4886294868137422,0.6392917986865593,0.28536864050331184,-0.1885617896094076,-0.6883492367972789,-0.9419024030139784,0.3223455146047451,-0.15664833287163807,0.4746918717356685,Barnsley South,1
