Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8,Segment_9,Segment_10,Segment_11,Segment_12
Carlisle,Cumbria,North West,9,4,1,False,2.9722665484510112e-08,5.773242742078506e-06,0.0024337164434126203,66.41253485519337,1.1790644553132115e-07,33.39508657006658,1.0077798909185268e-10,0.025662788870535663,1.2988160351080273e-07,0.1642760185186427,5.329614962369424e-11,0.0
Carshalton and Wallington,London (Sutton),London,6,7,5,False,7.138015435981837e-07,1.0200610072479897e-06,2.2077594508533614e-07,1.9719403173279623e-16,4.4387200739739e-05,5.226257071888753e-27,99.99992405450094,1.1920992211500471e-15,1.3198465598582985e-05,1.6405194121331866e-05,1.1497642468332837e-15,0.0
Castle Point,Essex,Eastern,9,10,1,False,2.179178415095907e-05,0.03093366992198122,1.632096700247857e-05,3.0602735259852123,0.03712475163261683,0.006258588249466534,1.428645008939834e-12,8.521157964621516e-10,4.525570946328404e-07,96.86537089804884,2.7466099433305028e-15,0.0
Central Devon,Devon,South West,1,6,1,False,2.2218770682600593e-10,3.2456270846167005e-08,9.667857972297806e-06,7.997547825365262e-12,1.6131176297684646e-07,99.9999753698349,1.5436722851754556e-15,2.1615389815522136e-10,4.679219224665248e-11,1.3728963263772305e-05,1.0390826031139194e-06,0.0
Central Suffolk and North Ipswich,Suffolk,Eastern,1,6,1,False,1.9344090422768345e-08,7.998445987650421e-06,0.00030779959749964366,0.006187504679456257,1.2350381767431524e-06,99.93271659614388,4.40573316292912e-12,5.161020984833324e-07,1.4931793043435735e-08,0.06077811737209669,1.983405769119554e-07,0.0
Chatham and Aylesford,Kent,South East,9,4,1,False,1.1803042760973809e-07,9.72963339071518e-08,1.6948445600561794e-07,98.7302399197633,5.342400049089379e-08,4.028565877407024e-05,1.619861055034145e-12,2.04314414171591e-12,1.3486218344023212e-07,1.2697192214766453,2.921805578727745e-13,0.0
Cheadle,Greater Manchester,North West,7,7,5,False,3.8696009494966825e-12,1.7336480006922327e-05,1.2559190983991794e-05,1.231217960999163e-19,1.732070855600609e-05,7.01298516182326e-16,99.99990433831371,3.420202408854642e-16,4.7299453730998745e-08,4.3872949947874095e-05,4.5250533921525705e-06,0.0
Chelmsford,Essex,Eastern,7,7,5,False,1.8319749407484677e-09,5.992722068430774e-07,0.000533908281903148,9.668066642254471e-11,2.0725030996433423e-06,5.672873745225861e-12,98.9790706574642,4.394642387618149e-11,3.6650395121543276e-07,0.006321776515441327,1.0140706174807534,0.0
Chelsea and Fulham,London (Hammersmith and Fulham; Kensington and Chelsea),London,2,5,4,False,5.2803946422883916e-08,9.848675143126057e-17,2.2332715443452975e-32,3.1954540209675906e-74,99.99999994719602,4.436601917852454e-95,6.906286165778015e-38,5.093335618911349e-58,1.8978657141995584e-18,1.076541466088777e-36,1.157678317793749e-107,0.0
Cheltenham,Gloucestershire,South West,7,7,5,False,1.1537676768541049e-13,3.300122304362991e-07,0.0002440471329364955,1.364057599134503e-23,2.3417029987883365e-05,6.369046959301595e-19,99.9994482590535,7.698408404074644e-16,1.9374790778073195e-12,2.6878206735189045e-10,0.0002839465006392045,0.0
Chesham and Amersham,Buckinghamshire,South East,7,7,5,False,3.1520938912555127e-09,6.888504682309427e-05,1.3015906401642737e-06,4.731481364434899e-27,0.0032735657753746195,3.076667869982818e-20,99.99664460341133,6.404243022250231e-22,3.96812327759385e-09,1.1632873754223426e-05,4.181906635513514e-09,0.0
Chester North and Neston,Cheshire,North West,3,3,1,False,1.135957592615329e-07,0.00022526732524816667,76.03923500870722,1.0035082412460436e-05,4.732391058129082e-05,0.0004084851250927618,5.649861601972996e-09,23.617120436662365,2.6937811440671264e-05,0.34292638612991755,5.6132421580440834e-21,0.0
Chester South and Eddisbury,Cheshire,North West,1,6,1,False,4.03240681567132e-10,8.846315440129106e-08,1.4304040413470863e-05,1.5940343782544247e-09,2.2680018172776604e-07,99.99429003634238,1.1346476201618985e-13,7.888644611572394e-10,6.587411878427094e-09,0.0056953258459838205,9.134131706726338e-09,0.0
Chesterfield,Derbyshire,East Midlands,8,8,9,False,7.886819917518336e-09,7.545414943979963e-06,0.0038097636224712823,1.305043062095287e-07,2.6877835860476567e-07,3.100124640311508e-11,3.464902882630038e-09,99.99612682188591,3.095878253000856e-07,5.514882345941455e-05,1.0325917409031296e-25,0.0
Chichester,West Sussex,South East,7,11,5,False,1.264900504309387e-14,7.385881770909609e-08,1.529365643812765e-05,8.867599895344491e-28,0.0005709412792292846,7.495068791370611e-12,3.5330308621215114e-05,1.2772557807966009e-13,1.178034068936298e-14,2.841865583629267e-12,99.99937836088635,0.0
Chingford and Woodford Green,London (Redbridge; Waltham Forest),London,6,2,3,False,0.11281669239827795,97.07816640200221,5.82936519207927e-11,5.533944134824506e-33,2.80235948624814,1.2307316969718282e-32,2.5681574844120135e-20,3.1587279173169076e-29,0.006343698499383659,0.00031372079370829085,4.264985708400712e-49,0.0
Chippenham,Wiltshire,South West,7,11,5,False,1.098634894627987e-14,7.369957117192091e-10,1.2171272132144409e-06,4.518082102601289e-17,3.239242833616249e-09,1.6197814783389617e-10,0.002710208957892576,5.03357809854618e-13,7.105496466269552e-14,2.904573402298105e-08,99.99728854073034,0.0
Chipping Barnet,London (Barnet),London,2,5,4,False,1.0486673963413562e-08,6.551944422221132e-05,1.837287663426791e-12,6.508738242325232e-36,99.99992875504,1.1589439206100518e-42,6.198772802472927e-20,3.984548838554989e-28,5.715027494231946e-06,6.080888259644124e-16,1.1038811202635961e-43,0.0
Chorley,Lancashire,North West,12,12,10,True,4.504570306100435e-282,3.310148432045462e-236,1.5381035652533886e-259,0.0,8.310664927582393e-93,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Christchurch,Dorset,South West,1,6,1,False,2.1520503679628974e-09,6.376499901390046e-06,1.658111114288606e-05,8.422321906792519e-07,1.4577901928712204e-06,99.99466282822902,6.584660725205673e-11,9.024246903548221e-10,1.772782747118609e-10,0.004432806553691745,0.0008791042864031459,0.0
Cities of London and Westminster,London (City; Westminster),London,2,5,4,True,1.839562422544973e-20,8.541855088522378e-39,1.9229927178810824e-62,2.5940399822860173e-145,100.0,1.4020848290907808e-174,2.6377549109932557e-75,1.910381046801593e-121,1.2959031022903921e-46,3.1639144378595454e-83,2.9684175836751745e-190,0.0
City of Durham,County Durham,North East,3,3,7,False,4.565485512760502e-07,3.386153054666741e-05,99.99877242984472,6.311870985443916e-14,0.00020944551182027353,2.4983943875883587e-15,4.1192427833147215e-09,0.0008990040889263289,1.394071463247301e-06,8.340428473258621e-05,4.4672865638378377e-35,0.0
Clacton,Essex,Eastern,9,5,1,False,1.656761773076774e-06,0.0012095044536688379,1.2900125965803267e-06,1.795650287149748e-05,99.99859024876955,4.804175693838558e-06,2.9989997117937042e-18,8.675361330324107e-10,3.672355508193643e-13,0.00017453845613121918,1.6355089556525747e-26,0.0
Clapham and Brixton Hill,London (Lambeth),London,4,9,2,False,1.5580973439827623e-05,9.685725479230633e-09,5.015974231675865e-07,4.745847303130283e-30,0.00011898948173331404,1.5310599846209784e-57,7.464888612369736e-19,2.2723447348859473e-19,99.99986491272523,5.536401537700784e-09,2.5305546726932126e-81,0.0
Colchester,Essex,Eastern,3,4,3,False,1.0610198289218954e-05,4.031627743790533e-05,0.753361026757472,96.75454372048767,6.70092858612923e-05,1.20054374061932e-07,0.00013565229744697942,8.995543941444135e-05,0.0033253709690648746,2.488426218232754,5.094061584250945e-14,0.0
Colne Valley,West Yorkshire,Yorkshire and the Humber,1,10,1,False,2.5626367708268004e-07,0.001078945213933817,4.836090058036746,6.1148783268589355,2.5987109206704217e-05,34.29647260766935,3.12141788531982e-07,0.019879908683089746,0.00011756056582966357,54.73145603217496,5.2824966407949986e-09,0.0
Congleton,Cheshire,North West,1,6,1,False,9.542979880880209e-10,7.577331817667858e-07,6.579968886417876e-06,0.00016314238460862684,7.889234152497151e-08,98.85487834585693,1.465273652755538e-13,1.1373543096591083e-09,1.952895519769826e-08,1.1449510731427996,4.00563770619802e-10,0.0
Corby and East Northamptonshire,Northamptonshire,East Midlands,9,4,1,False,2.3213740121249217e-07,2.4912619624786472e-05,0.0005325630864669083,92.08409571924723,4.740707597382402e-07,1.506770379626904,1.7038212624734144e-09,4.2083681825101665e-05,4.0526395665801654e-05,6.408493107184654,2.456553705796639e-10,0.0
Coventry East,West Midlands,West Midlands,10,10,8,False,3.3724796339455625,0.2593381600721102,0.0025735731304387505,1.4021393935196476e-10,0.0009299421516807253,2.7583709110723815e-27,4.217931913873694e-09,6.556623320865927e-08,1.2523254526531504,95.11235316812258,1.653299782778477e-29,0.0
Coventry North West,West Midlands,West Midlands,10,10,3,False,4.6780152395829764e-05,0.00011087002292639276,0.0013702460445296641,7.705052232900499e-05,8.276647635226093e-07,2.890166411398511e-11,4.285150472552967e-09,2.1577299584274018e-05,9.531186141574799e-05,99.99827733211806,5.274918073612798e-16,0.0
Coventry South,West Midlands,West Midlands,3,10,3,False,30.45430424673654,0.1620836176284526,8.948936963132509,8.671161043395274e-21,11.722103823996926,3.9245309959481214e-30,1.99347627845494e-10,5.446052046918894e-12,0.006287810927113022,48.70628353737372,2.1204795614320103e-33,0.0
Cramlington and Killingworth,Northumberland; Tyne and Wear,North East,8,8,9,False,3.2200580704745184e-09,1.8910601132871163e-05,0.04181968957472923,0.0007428249875636469,2.1722003331690242e-07,0.002121734383172056,1.5335198984281915e-09,99.92429498212022,3.014593618460475e-07,0.031001334900267304,1.8073533574528716e-17,0.0
Crawley,West Sussex,South East,6,10,3,False,5.589492447163743e-05,8.175363451546616e-05,1.0724066360373247e-05,2.928384109905942,6.27859460733644e-07,1.6255781308821137e-10,4.985140588825834e-09,1.7252610745188086e-10,0.0004780990436415048,97.07098878524543,9.2746038283309e-15,0.0
Crewe and Nantwich,Cheshire,North West,9,4,1,False,4.076621827357641e-08,6.187248338634041e-06,0.0002892676529563335,94.46244450848573,4.711827305389738e-08,0.027144295816759204,1.8013148748218354e-09,0.020438730504336144,3.826853197920235e-06,5.489673093752525,3.817330794779377e-13,0.0
Croydon East,London (Croydon),London,6,9,2,False,0.0018010237369700812,7.599138695287613e-06,1.827756053588443e-05,1.5443603958138949e-13,0.0007746185898333877,2.398267351115749e-21,9.36329633511911e-10,1.1997569384126063e-14,97.22975041207681,2.7676480679605797,5.849699314407852e-20,0.0
Croydon South,London (Croydon),London,6,10,3,False,0.00034988701482319536,8.19156720708022e-07,3.308711516120712e-07,2.754777011424238e-11,1.7251204711188242e-05,6.6808485033179375e-18,1.9148772275304877e-08,1.4418717316871516e-18,0.009057272121680556,99.99057442045441,3.338993097982244e-20,0.0
Croydon West,London (Croydon),London,4,9,2,False,0.0004133114062271751,1.0288469727667817e-07,3.574605262113124e-10,1.3336899290636234e-39,0.00015366805892696927,1.1877374590649022e-60,3.829999847422205e-21,1.1278227200604223e-23,99.99943291708317,2.0936617661878038e-10,8.148971888600817e-53,0.0
Dagenham and Rainham,London (Barking and Dagenham; Havering),London,10,10,8,False,0.04843162020598786,0.035993708164952405,1.3548640947269554e-05,2.808882547126924e-07,0.060707004836233584,2.0393664478777704e-22,2.910302700516274e-09,3.985099047403091e-12,30.280546016662253,69.57430781768717,8.371371132966118e-25,0.0
Darlington,County Durham,North East,9,8,9,False,2.4957732297839282e-06,0.0002491318916661014,0.2957859201335479,1.5989473178598976,2.280337187895359e-06,0.008851099665787811,3.5533046462606964e-08,97.96210421230069,4.215796203714945e-05,0.1340153485428547,3.076519374362179e-14,0.0
Dartford,Kent,South East,6,10,3,False,3.611921097269883e-05,4.325181787156503e-07,7.909539517839523e-08,0.07272611877353556,1.2047944822903777e-06,2.2060800712743263e-11,1.3860610089545384e-09,8.768488546597348e-16,0.0002833169567959638,99.9269527272425,1.996903952468384e-14,0.0
Daventry,Northamptonshire,East Midlands,1,6,1,False,7.516091928758226e-10,5.79179855780378e-08,6.01041169686952e-07,0.009537236987287485,7.775357677644271e-09,99.82875988446808,2.625217092321049e-12,4.014352709009077e-10,1.6221668863038888e-09,0.16170110135136348,1.107680898934618e-06,0.0
Derby North,Derbyshire,East Midlands,3,10,3,False,0.006639274155857387,0.027502208006298882,21.722251447174365,0.00519107939943955,0.001125388294687726,1.3601733906330104e-11,4.254751910179041e-06,0.02571384197218659,0.07756353875490946,78.13400896747667,7.606223681731159e-21,0.0
Derby South,Derbyshire,East Midlands,10,10,8,False,0.025282348351031908,38.4644570387742,0.021496436612445064,4.8212969386320626e-08,0.003685627908349093,1.4640847381773356e-26,6.56000500949384e-08,7.988328045613111e-11,0.18688116502403332,61.29819726943718,1.918725225929427e-29,0.0
Derbyshire Dales,Derbyshire,East Midlands,1,6,1,False,3.657374016189488e-10,4.349820140497557e-08,2.4316202688592484e-06,1.1980421342722376e-09,4.9027239077988844e-08,99.99973294040964,9.250832695630984e-17,1.8377128016379606e-09,3.115590981699759e-10,0.0002645316451105986,8.656912862444131e-11,0.0
Dewsbury and Batley,West Yorkshire,Yorkshire and the Humber,10,2,8,False,5.267864945050831e-17,99.98776837836104,6.914230854263354e-15,1.7363273532915216e-56,0.01223162163878002,1.4441884656048378e-63,2.7487007542992033e-21,7.8258345610951335e-31,4.242215518692571e-15,8.628738982548027e-20,5.4587591662761e-65,0.0
Didcot and Wantage,Oxfordshire,South East,7,11,5,False,3.4070158009463986e-11,3.1501814147557533e-07,0.0002125945776522105,2.994191641199329e-11,4.1554819128981093e-07,5.521542203809197e-09,18.362136893961083,4.0387320073050226e-11,4.1791057200486996e-08,0.00047074810146459345,81.63717898537651,0.0
Doncaster Central,South Yorkshire,Yorkshire and the Humber,8,8,9,False,9.298912403674733e-08,5.138421633780107e-06,1.6665298768118207e-05,5.125184246495875e-10,1.5678216512461706e-06,9.772741177368198e-18,3.3561584761081024e-10,99.99997611675441,2.8321138280333223e-07,1.346548697655779e-07,3.298082137560989e-27,0.0
Doncaster East and the Isle of Axholme,Lincolnshire; South Yorkshire,Yorkshire and the Humber,8,8,9,False,7.746921653240081e-07,4.426921839038378e-05,0.008103315031948938,0.023515145761113854,4.5274953089060675e-06,1.3413784980122463,2.6824665621944255e-09,98.54716317933688,4.2905071472345676e-07,0.07978985858361748,1.3511575176534628e-10,0.0
Doncaster North,South Yorkshire,Yorkshire and the Humber,8,5,9,False,6.55970420342941e-14,0.0008509017477009572,0.003036106995781979,3.365003099992934e-37,99.99602480075261,1.128308981584691e-30,2.9011040639835414e-16,8.819050395580518e-05,2.6085771443367873e-19,3.931431626867268e-24,1.0871910334656194e-40,0.0
Dorking and Horley,Surrey,South East,7,11,5,False,1.1437065243917538e-11,9.95381045945406e-08,3.0873681363437335e-06,3.611470386046078e-13,3.6822669141963e-07,4.8216956444078893e-08,0.8227881378558024,3.813478929201105e-13,2.4713942841537293e-09,0.001717634263337576,99.17549062204743,0.0
Dover and Deal,Kent,South East,9,4,1,False,1.0265647685904278e-08,5.020107493853312e-07,1.6064320806377615e-05,98.40667896330157,2.3377853271011257e-08,1.5801547141431327,1.278949550123498e-13,1.968375460426156e-05,1.2031891367472095e-08,0.013130026793670797,9.807337806452134e-15,0.0
Droitwich and Evesham,Worcestershire,West Midlands,1,6,1,False,3.669702656401333e-10,3.517476424522578e-08,4.2955779163035575e-07,0.0007208010120373722,4.9137364635770735e-09,99.99146156570372,5.422408535188708e-13,1.1530899881232682e-08,1.476234434396289e-09,0.007816821381714153,3.288816358834177e-07,0.0
Dudley,West Midlands,West Midlands,9,4,8,False,0.004030175472007452,0.0047423229373845695,7.968946122933367e-05,99.68959340614163,0.00047738869103251493,2.0226256099187896e-08,1.8476879459017436e-11,7.645303680702671e-08,0.008040409313969425,0.293036511284956,1.2125211997228334e-18,0.0
Dulwich and West Norwood,London (Lambeth; Southwark),London,4,5,2,False,2.8261694367930072e-08,1.1466331834850937e-08,4.209566056621522e-11,7.236738624276354e-50,99.76949749696024,1.129214741083682e-67,1.0549947769888894e-28,4.1954818179987035e-32,0.2305024632695486,1.496216504501444e-25,5.5148154956622055e-87,0.0
Dunstable and Leighton Buzzard,Bedfordshire,Eastern,9,10,3,False,8.275857579178846e-07,7.712897149083315e-06,6.767653780651332e-05,24.266474306355928,1.4937924085056793e-06,0.0007081613860694542,1.1390241092176563e-05,7.204795547780634e-09,8.29258863008208e-05,75.7326394554297,6.042682839284708e-06,0.0
Ealing Central and Acton,London (Ealing; Hammersmith and Fulham),London,2,5,2,False,0.00040707857038941274,8.355239396867619e-06,4.3632567366254786e-07,5.661505052542314e-34,99.93202648648588,2.1783559114585696e-62,1.359788983881727e-14,2.083997607676439e-28,0.0675576433754244,3.2316914068511674e-12,4.376861959002307e-58,0.0
Ealing North,London (Ealing),London,11,5,2,False,1.7049675480932742,0.0023040133132620987,4.151887738692283e-08,4.7618878251188104e-42,97.85212498898024,1.9129132517371765e-60,6.480111337624337e-18,1.922254026007348e-32,0.44060340466929193,3.4249365966318137e-09,1.1835219680432358e-56,0.0
Ealing Southall,London (Ealing),London,11,1,11,False,99.99993759923804,2.6537973478837905e-11,1.2294503367202128e-39,1.112146873391982e-124,6.240073531951011e-05,1.7317356166748079e-146,2.0447673484318347e-57,1.1252875851989448e-76,9.574567537138587e-25,2.036109627108216e-30,3.629437236422471e-178,0.0
Earley and Woodley,Berkshire,South East,6,10,3,False,0.0052606638277422554,0.006325667491410317,1.3221552025570353,6.255324435677108e-13,0.03531876248727002,4.153895520367732e-17,0.0024803848350517677,3.196534393621258e-12,0.004305205303834514,98.62415411349387,4.466079123028061e-17,0.0
Easington,County Durham,North East,8,8,9,False,1.461113040972705e-09,4.795366033617211e-08,5.021674093495678e-07,2.3493425638019354e-17,5.239854835668152e-07,2.912560527921347e-21,2.0454045529666156e-15,99.99999892424292,1.685063194569903e-10,2.07303877312697e-11,3.5049478276998814e-39,0.0
East Grinstead and Uckfield,East Sussex; West Sussex,South East,1,6,5,False,1.7341242459337557e-08,0.10626622471598401,3.7609112895961583,1.4163648357302294e-10,0.07932377181171818,95.93575924038174,8.583148706400925e-06,9.658703771561888e-10,1.019604157794122e-08,0.01349848851622714,0.10423237318462988,0.0
East Ham,London (Newham),London,5,2,6,True,7.188452944360188e-12,99.93659343236911,4.603589893977678e-19,2.5326202631621752e-79,0.06340656762349367,1.078450240647213e-122,3.6997473328165203e-37,1.3432041424503529e-58,8.332805029997927e-18,1.7160182350343387e-26,4.551815919917098e-127,0.0
East Hampshire,Hampshire,South East,7,11,5,False,2.3000396577346574e-13,4.7095165540308714e-08,3.6685968145824914e-06,5.215200993812512e-15,4.5173470542420796e-08,4.9286886336191184e-05,2.3505385679380098e-05,5.433766960912146e-13,3.0364404241310437e-12,1.4177165201714974e-05,99.99990926969348,0.0
East Surrey,Surrey,South East,1,10,3,False,1.1657841276590473e-07,3.5596902612408895e-06,2.125292556158282e-05,0.2201086451549857,1.4786317707020867e-06,0.7065532448839008,7.5024467933188174e-06,6.585849973439301e-12,1.6356906538857386e-05,99.07191303595462,0.001374806820710049,0.0
East Thanet,Kent,South East,9,4,1,False,3.354651944731902e-07,8.972146265381073e-06,0.00025758679687805917,99.99466886554599,4.085810787036171e-07,5.11817021229792e-06,3.9569894403228166e-13,0.00015977884043369357,1.1657224096005713e-06,0.004897768731223686,1.8150362016366523e-22,0.0
East Wiltshire,Wiltshire,South West,1,6,1,False,3.376540675458955e-08,2.437452530064382e-06,7.099737498700546e-05,0.0053232368603933706,9.451871400980297e-07,99.99415845033863,9.931482228670613e-10,3.864713408382186e-07,6.898706846118344e-08,0.00035513099157858866,8.831157791910853e-05,0.0
East Worthing and Shoreham,West Sussex,South East,1,4,1,False,5.6353703578078305e-08,1.56742931258019e-05,0.010812547869507467,87.54895161286184,4.454556185474802e-07,1.990439134625393,1.846499639250252e-09,0.00042167576358120954,1.2316692925773298e-06,10.449357619236462,2.4966316055869457e-11,0.0
Eastbourne,East Sussex,South East,7,7,5,False,5.872381568545446e-10,4.6650702788410914e-06,0.0027669640262412195,2.4927051856260406e-17,0.0038241881902827597,1.7654509534733585e-15,99.87385612082095,6.488354772548861e-08,7.74625300064044e-10,1.3549086009212019e-09,0.11954799429185713,0.0
Eastleigh,Hampshire,South East,7,11,5,False,3.5301330295499845e-09,2.5814847908806116e-05,0.036581794269205714,1.271318808249477e-05,3.19692095946144e-06,0.00013588082416157677,26.338752698828884,3.567212996091268e-08,3.022736847719338e-07,0.28360253892535425,73.34088502071954,0.0
Edmonton and Winchmore Hill,London (Enfield),London,10,9,2,False,1.5520199736378997e-05,1.1248656180414729e-07,6.322228831851064e-10,5.853125079944093e-35,0.0002343592675956578,8.409722929680974e-44,1.9429380220977843e-20,1.0148088689401978e-24,99.99975000382996,3.5838746354942913e-09,2.333888587256272e-39,0.0
Ellesmere Port and Bromborough,Cheshire; Merseyside,North West,8,8,9,False,6.344408951693473e-10,5.425820850518256e-06,0.008148533624890862,7.155948831935971e-08,1.0712057340689104e-07,9.295779460080746e-10,3.084169334817804e-10,99.98305283644851,2.2305692363082244e-07,0.008792800496396455,8.737279141710626e-25,0.0
Eltham and Chislehurst,London (Bromley; Greenwich),London,6,10,3,False,0.00023492114424499678,1.5125885752271857e-05,1.0544715404522787e-05,0.0002665439409386746,3.537643444037903e-05,3.724984900903525e-15,1.026149581423898e-08,7.678661748990647e-10,0.9183635627559972,99.08107391409374,5.840145754550195e-20,0.0
Ely and East Cambridgeshire,Cambridgeshire,Eastern,7,11,5,False,4.4116620460473845e-10,7.102344776066185e-07,0.00031423896081346253,1.0109692924648366e-06,3.47769424618921e-07,0.008182779813804017,0.009071336640899458,2.6182840056931965e-09,8.954009116714658e-08,0.002380972979369873,99.98004851003238,0.0
Enfield North,London (Enfield),London,10,9,2,False,0.00036419101739296384,5.21855666477809e-06,2.0397671248552626e-09,4.1957224266831236e-21,0.0004759807573047775,2.170564375882712e-34,3.4600115730104144e-15,2.113914724389694e-20,99.99828960493265,0.0008650026961937081,1.1444212621490424e-32,0.0
Epping Forest,Essex,Eastern,6,5,3,False,0.19489098234791327,11.512522568386672,4.009747592318185,4.6891023543995366e-07,83.23365580433449,1.7204580344654614e-06,8.434103622522448e-05,9.214120212961984e-11,0.18090165081780174,0.8681948710200234,2.7820518211548484e-10,0.0
Epsom and Ewell,Surrey,South East,7,7,5,False,3.926623482492185e-09,1.0771158597973427e-06,2.604839510661456e-05,4.974654763537297e-13,7.767700401774061e-06,1.225940739795995e-13,99.98319291800115,5.390256247930132e-15,2.4772567118552633e-06,0.016204765140355498,0.0005649424630857855,0.0
Erewash,Derbyshire,East Midlands,9,4,1,False,3.841494533731668e-09,1.0034725960134804e-06,0.0022213585459111237,99.61819339886196,2.6826299757208624e-08,0.03648001490360734,5.407769429147463e-11,0.0001313292338496703,1.2601946480281009e-08,0.34297285165827823,1.504015704033715e-14,0.0
Erith and Thamesmead,London (Bexley; Greenwich),London,10,9,2,False,0.03627756241232368,9.237133985670467e-07,1.988170827610164e-13,2.0428549274669257e-38,0.11623280958570038,5.574893316801649e-56,5.147048574579447e-23,2.773806807103787e-22,99.84748870423556,5.2962220353992446e-11,1.7803426289942252e-56,0.0
Esher and Walton,Surrey,South East,7,7,5,False,4.3818714876156585e-12,1.2505054634886566e-10,3.2538156735763686e-10,5.938760211731715e-23,1.4266560141902205e-06,1.4937712087405218e-24,99.99999853025763,1.0753202039358332e-20,1.518975920878006e-08,2.7232835292299162e-08,2.0891252383615624e-10,0.0
Exeter,Devon,South West,3,3,7,False,3.2595441868948926e-08,0.00046542972072298987,99.8978371939701,3.211330008190613e-28,0.10169734336193152,2.744470277386164e-33,5.35787996244183e-16,1.9930424010501135e-10,6.994226208180348e-11,8.250672785833336e-11,4.742259061597289e-62,0.0
Exmouth and Exeter East,Devon,South West,7,5,5,False,7.692912946049048e-23,8.895715328957937e-17,2.0067339709777752e-20,2.533265631985018e-66,100.0,7.885464809328799e-44,1.501063172686382e-29,2.9431270512787535e-33,5.687349256880805e-36,8.463622672523438e-49,4.443866952207402e-67,0.0
Fareham and Waterlooville,Hampshire,South East,1,6,1,False,4.037009348918217e-10,1.218049108154327e-06,0.0010999193116789934,0.7280030179899221,6.49075309022224e-08,99.25872189260558,1.2984544358811493e-07,3.4183410610006494e-06,3.622811295903172e-10,0.008448671786137039,0.0037216663974925716,0.0
Farnham and Bordon,Hampshire; Surrey,South East,7,11,5,False,5.071600228234682e-09,1.705636765935019e-05,0.0025309271580751832,0.00011103912662504228,1.0763186836166637e-05,0.017944941097996152,6.911387549391429,2.1855633969914948e-09,4.177816484416775e-06,2.4514316767805227,90.61656186181708,0.0
Faversham and Mid Kent,Kent,South East,1,4,1,False,2.7444310460182072e-08,1.096699245912317e-06,2.125765894174809e-06,96.25241916383203,9.882202505561342e-08,0.6500063087953044,1.006910378561678e-10,1.3445765214177675e-08,1.7279212282392594e-07,3.097570991574506,7.281597171773457e-10,0.0
Feltham and Heston,London (Hounslow),London,11,1,11,False,99.99955358196067,4.2535625420351526e-05,8.447754883462371e-20,2.6147993561278367e-65,0.0004038822502168947,1.2531488123289618e-80,6.144753538890533e-32,2.7308074596379485e-43,1.6373226614434999e-10,5.800386810380492e-14,9.038686042034343e-96,0.0
Filton and Bradley Stoke,Gloucestershire,South West,6,10,3,False,1.5903253305696117e-06,2.5047590732074313e-05,6.984093613933609,0.0059928247532724035,2.8092007328724946e-05,2.8485580723815334e-06,8.282570173301177e-07,8.535349844191943e-07,0.0008389301726191591,93.00901537086705,7.781032092772057e-15,0.0
Finchley and Golders Green,London (Barnet),London,2,5,4,True,2.7129051633888973e-47,1.9280399586771126e-25,1.0425059602961435e-94,1.2246132849485174e-229,100.0,9.515811675203483e-200,6.688274230339156e-123,1.4821512769086594e-130,4.305943590325019e-46,8.5470483652001e-116,5.7747745871154564e-220,0.0
Folkestone and Hythe,Kent,South East,9,4,1,False,0.00022642654499570552,2.757829877776693e-05,1.3533868771046179e-05,99.978320065607,0.00022745206368342917,3.3978880556762535e-05,3.290556256876169e-13,2.3872012407107864e-05,2.973970404144909e-07,0.021126795326602704,3.129486989688117e-22,0.0
Forest of Dean,Gloucestershire,South West,1,6,1,False,9.477993360739245e-09,1.58796210015457e-05,0.002039695477412923,2.1450116020896546e-09,8.387826961130774e-05,99.99781370393278,1.8152825977040512e-16,7.731772808778606e-06,8.304901762377282e-11,3.909911491242812e-05,1.0541067510540477e-10,0.0
Frome and East Somerset,Somerset,South West,7,11,5,False,4.1238097633206134e-10,0.00019037273607668277,0.006975484214412512,2.3151174874812124e-12,6.8896602140781e-05,0.0001980947921911343,0.0012333692428445483,1.2648776356053925e-07,8.832869636408724e-09,0.001155990413417651,99.99017765626348,0.0
Fylde,Lancashire,North West,1,6,1,False,1.0277914981115895e-07,3.654294155773341e-05,3.0776799071106e-07,5.1224909664521985e-09,1.84046438695635e-05,99.99859974808797,1.3502320135812989e-17,4.843606798392854e-10,5.019881479991624e-09,0.0013448831525182247,1.0930965187518577e-13,0.0
Gainsborough,Lincolnshire,East Midlands,1,6,1,False,5.668255169955107e-10,2.1154479434638534e-07,1.680147438471454e-05,5.600163415644315e-05,1.9009555149506505e-07,99.99988038291767,9.590331180281029e-14,1.0542403931697898e-08,2.2308272345716587e-10,4.637134007409738e-05,2.9660930451922962e-08,0.0
Gateshead Central and Whickham,Tyne and Wear,North East,8,8,9,False,5.1870300049103615e-08,0.001448169988978154,1.1861577631858058,0.0009620900751233581,5.225142725114317e-05,5.494277604303757e-11,6.677071892330561e-07,98.80837763799218,6.929966378275226e-05,0.002932068034475233,1.7441777928146264e-23,0.0
