Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8,Segment_9,Segment_10,Segment_11,Segment_12
Beckenham and Penge,London (Bromley),London,6,10,3,False,1.2946333112992247e-05,3.1269454060817647e-07,0.0001584495805089705,2.8061577674300066e-06,5.4804883930107324e-05,8.045411086690552e-13,9.352330130823207e-09,1.6927599487446155e-11,0.8189504120344346,99.18082025894553,3.005099625052408e-20,0.0
Bedford,Bedfordshire,Eastern,10,10,3,False,0.005506271469427896,0.05923585737365771,0.03676760422101458,0.0074022587320903424,6.897550179521414e-05,2.120748871740843e-12,1.8846395748251627e-06,1.4971292103726899e-05,3.297586669176542,96.59341550759173,3.582501998305571e-14,0.0
Bermondsey and Old Southwark,London (Southwark),London,4,9,2,False,0.0001377595078798049,4.2105861395142334e-07,0.0036601670174638934,2.9137794009839756e-31,0.8868162935906371,2.836056868781301e-68,3.738686144552215e-15,1.2788734914037689e-17,99.10938535871135,1.1411521900558505e-10,1.0087956013153924e-82,0.0
Bethnal Green and Stepney,London (Tower Hamlets),London,5,5,2,True,9.503149408374978e-56,2.439191196719611e-09,1.911949193224822e-95,2.0394173205283624e-281,99.9999999975607,1.353839725369561e-252,1.0100647807112964e-136,7.929212737964924e-161,4.064688262589093e-74,5.6294368400476e-116,5.254060059215914e-275,0.0
Beverley and Holderness,East Riding of Yorkshire,Yorkshire and the Humber,1,6,1,False,6.017949643674253e-09,5.923549811179655e-07,5.810266816499592e-05,0.0015254910820800436,1.0827616415066164e-07,99.99822485420499,2.2799245653700887e-14,3.2124220926138706e-06,9.675925666950725e-10,0.00018763176954101688,2.3636847547976306e-10,0.0
Bexhill and Battle,East Sussex,South East,1,6,1,False,5.894891413130384e-09,9.324216469781975e-07,7.653000696827971e-08,8.156879170141863e-09,5.826353436880478e-07,99.99994381466573,1.27891867285127e-18,5.049774378283902e-12,2.7854820972997865e-11,5.457966187496442e-05,7.827253564456992e-13,0.0
Bexleyheath and Crayford,London (Bexley),London,6,10,3,False,2.4198264860350714e-05,1.3102919866602098e-06,8.676046008700957e-08,0.0008540908058427504,2.2622748028845394e-06,2.2001656708458987e-09,3.9190780909903013e-10,1.108027616921302e-14,6.37964675803419e-05,99.99905425254177,6.071149103232257e-13,0.0
Bicester and Woodstock,Oxfordshire,South East,7,11,5,False,1.6276025816766025e-11,8.512231677882641e-09,1.5085197920644989e-05,5.264579999946276e-11,9.701455844618534e-09,1.273913810106363e-06,0.028479002317898922,1.2761117080355393e-10,5.586911570816426e-09,0.0004398036190171453,99.9710648109542,0.0
Birkenhead,Merseyside,North West,3,5,9,False,3.1203130428066695e-08,0.04695818799150214,0.007592429741179443,5.900826765526555e-32,99.9454485538513,6.132261906099393e-35,2.2250698224812276e-15,3.783041140505623e-07,4.189086931158656e-07,3.6052439618641816e-14,1.1139674670288635e-62,0.0
Birmingham Edgbaston,West Midlands,West Midlands,10,10,3,False,0.22559646985802137,0.19121981573759195,0.6445162865881099,6.336556769840629e-13,0.0019274457331513088,2.502739011042542e-35,2.0000179543410988e-08,7.459625611848763e-12,0.7265837027937588,98.21015625928098,2.9549988054230993e-34,0.0
