PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,Seat,GMM_label,KMeans_label
0.13556650738721943,-2.191608694798538,-0.18250373642673065,-3.7610758432350493,0.1781103926230622,-2.070732463604991,0.8818268947840244,0.725175496426479,-0.6886802124054812,-0.8435000097387643,-1.7398353160762032,0.005485677752703661,1.6506540588037697,1.52847875062011,-2.536651279264808,-4.88063557868245,-1.5062919273190036,Aldershot,5,6
2.954961942331539,1.9813694439409728,-1.8425212819939862,-2.0728079853251997,0.7034487070216108,-0.3998149619569504,0.7438014881813401,-0.11004358698236723,0.44564059562509384,-0.4295622552401546,-0.20219893519664262,-0.5620842599674186,-0.6304351080362068,-0.475204951049895,0.4884937067022502,1.0398096087815905,0.29776391289024096,Aldridge-Brownhills,10,9
-0.22441528156755902,-3.4924690003090544,-1.141871076195941,-0.987188975378386,-0.12778670084177957,2.3420389005259303,-0.1078512956875458,-0.7231571251439654,0.3061847409371357,-1.3696960437187595,0.8554580209083317,-0.5960240979069236,-0.42436777244700846,-0.9717333791644396,1.3209427731132661,-0.05438740926701307,-1.5183722851289194,Altrincham and Sale West,10,6
3.9003426283986893,2.7082751324547734,1.0542892310218952,-1.469745915277895,0.904431530243454,-1.592828400984828,-0.5642672085558249,-0.12293382118405873,0.17990798985116754,-0.8720915557651213,0.3361419984055167,0.0033373238860358208,-0.07080061783719126,0.13284054874689208,0.2550253639890568,-0.04174841403947546,0.2902898997415727,Amber Valley,4,9
4.691101149884824,-3.048497172623591,-0.5539529251420935,0.7548010065222073,1.2387011325472064,1.27076313961867,-0.845191356309729,0.18019757175596057,-0.7828190932228446,1.6610244544520203,-0.13612644482233488,-0.7609398965936347,-0.9649171778167287,0.10458379999673904,-0.05373245372009905,0.0677446471756455,0.6051133938991703,Arundel and South Downs,6,1
2.9572334398780176,4.937697362301433,1.413026866137491,-0.2423526997134251,-0.7835347227830738,-1.0367869409138777,0.4650948148410243,5.009420126064886,2.1054729208899956,-2.935357130880224,0.6840129768678034,1.3351643567205176,-1.2567691981401037,0.8027590475432399,1.0846095406447858,-0.6301861917253008,0.8842573989792488,Ashfield,5,9
1.5056725585617508,0.19775358488121353,0.26031891982724814,-1.6393958455019775,1.0208594892768816,-1.0019988365739143,-0.25233212695622326,0.26591750094274136,0.6075610813417043,-0.6480086049901161,-0.21108252628147722,0.8959355494326932,0.4280077280822562,0.6683339337930104,-1.085622529486193,-1.3972783934053912,0.19426627938787805,Ashford,4,9
-1.5438446784637148,4.461978869198703,0.5158888454086613,0.42407752711556634,-0.6854817219340951,-0.2668064951213223,-0.24101976028102712,-0.30938570045074437,0.11862003189655321,-0.3672628883876462,0.10390529658695569,0.675295260590574,1.050112106601076,-0.20274726729048373,0.0024036286881925946,-0.8844880464911402,0.258712642236911,Ashton-under-Lyne,8,10
0.5933568688845965,-1.3133022137549273,-1.4705238069429174,0.013676914900015184,-0.3362800684144477,0.07535896049596848,-0.14998100158290115,-1.1932368627077787,0.8318809883001931,-0.6244463160473742,0.16797467540835512,1.3858126715665005,0.3567120674125308,0.01224865678405081,-0.8301046205937075,-0.286016484471162,0.7219598901023546,Aylesbury,10,6
1.7530545060643867,-0.9963796333122519,-0.16836692483047042,-1.0559965163286924,0.10334767589271528,0.9303262883274526,-0.971283891384233,-0.5186090086141869,-0.42288363168062315,-0.31512172463716565,-0.3002521731390604,-0.6566724462908217,-0.21920697442253878,0.23894724417515242,-1.162319500592395,0.032654027282421186,0.28307261783748444,Banbury,6,1
-8.358698627377255,3.5009553462086043,-1.8582234651475422,0.6441770522809698,-0.5796908052617697,0.18752507025892504,-1.859495326676769,-0.47020930868896066,2.349834960032213,1.5927330664089454,-1.1127607136737636,-1.1079793889251113,-0.10434150351516608,1.1931926102418144,0.6480299667883233,-0.7961681593052568,0.38758458672200113,Barking,9,5
0.5493668622979067,5.540811435114125,3.1590450145901117,0.7571495734456725,-3.6831000222107924,2.156627989015275,1.8234758377783136,0.0760617569699446,-1.377339718360668,-0.04202419714937204,0.6822074008152105,-1.9596476814096124,2.0231718592868932,-0.10489786502773839,-0.3141195711171046,-1.6159567339852752,1.1248214311780365,Barnsley North,8,8
0.17401456392597045,6.417432377946073,3.1328599475407395,0.48078339005188236,-3.816636868579322,1.2291109515247591,1.6157468188572606,0.3358858559924659,-1.2504580509368295,0.2740299580224956,0.9883708875003345,-3.079694675732321,1.98246130034321,-0.29654591333119024,-0.056818389699638094,-1.8733501557660053,0.5542579180307792,Barnsley South,8,8
2.9815438780927126,1.745192485882944,0.9010009052547043,-0.36377339530529534,-0.26314191724044805,0.8626727277481282,0.14023726635984865,-0.3019385487553912,-1.2293800416112068,-0.11777130648232811,-0.4730239799667211,0.29318822743818007,-0.10391007053692888,-0.18968741769618114,0.13097907873616388,0.17339587223589015,-0.33734221738854253,Barrow and Furness,6,9
2.06885880874278,1.9568118285005143,-0.22303480741878184,-2.276446168681447,-0.017231406999676766,-1.5963878243725984,-0.8205498588848888,0.12730578689063354,1.9806940396390718,-0.7529050045350942,0.2927107440003053,-0.6522790566583082,0.1946087894314628,-0.054577470563792745,-0.07921580877736865,-0.26148975298245675,-0.55457409637443,Basildon and Billericay,4,9
0.5673105538585291,-0.9110177647374988,0.5989548109311779,-1.7873160166145492,0.32652551999133717,-0.06784643045811982,0.32749834192028626,-0.01565990380304129,0.3479501255774655,-1.0056825169235648,-0.3775041228898891,-0.7763137880854188,0.5059769862319062,0.609010068500676,-1.1529813273785214,-1.0347625292700913,-0.4556557855018331,Basingstoke,4,6
2.803609362702443,2.898623199158534,1.08250373905188,-0.7335318886515582,-1.3610999695289705,0.713916156983286,0.2654091744289912,-0.28946951255881165,-1.050320854097902,0.2882939455309144,0.15970487537165304,-1.0411898844053271,-0.1517807713132653,0.25851228336508913,-0.38506680722264214,-0.26537992771702096,0.2897560683678625,Bassetlaw,8,8
-1.3063161303688249,-5.202239600987418,2.409386668080373,2.2409606124118864,-0.611097228692425,-1.664495499143128,0.4866252459498147,-1.292422248648441,-1.3534495076040267,-2.642137506291796,0.8381154317783405,-0.2920352076940566,-1.4859975618231211,1.8338290488878388,-1.945330551043742,0.06408327935508597,-0.13790352934998898,Bath,3,3
-5.441127159053259,-6.209177834938397,1.9584526203872166,-1.700776128154367,-1.063858485458454,0.5601984895697817,-1.1501180583865205,-0.10554741775230785,0.18528529575352695,-0.6810347079304702,-0.902869855641302,-0.9127950719857583,-0.7400843140913903,-1.0755588280090198,0.32414011450664826,0.3770477316303174,0.47338708542568325,Battersea,9,2
2.3042971713968114,-3.1995166884396804,-2.848879506078435,0.5059185027853929,-0.8057383688359516,0.9961628371554537,4.165142204201786,5.705603434008751,3.493770150879504,-1.0338915195968439,0.5933618094757493,0.17900164892436557,-1.5350559912658015,-1.1649584678998812,2.920954674957972,1.0799475579010953,0.96876648910127,Beaconsfield,5,7
-1.6566451874168064,-4.05991766894476,0.5080741991817002,-1.8075728075909352,-0.07411798309762706,1.829553897460849,-0.25776210666033533,-1.2334530076024761,1.5784110356910155,-0.7066464211291097,-0.7687038298938847,-0.09253552934593144,0.0982853321205195,-0.27968740745136744,0.10138750684158412,-0.22923925210416868,-0.4676693797217523,Beckenham and Penge,10,6
-2.7473358231296863,1.0579059457037325,-1.0253099262056686,-0.48343568428905104,-0.4220797806194601,0.025630571267124536,0.015792544822504258,-0.5560947434979456,0.585088960828036,0.11374420226984475,-0.8646576083056865,0.328816206387027,0.3505464830310504,0.4432603259016895,-0.3138754192155031,0.48616990805143834,0.5159583597914569,Bedford,10,10
-8.801047387519262,-4.925391783130964,3.8927871074367704,-0.7190622048809977,-2.271016748231534,-2.2007006337585358,-0.2880809746572301,-0.00569925738367906,0.26545327428056253,0.021500204126108095,-1.496751285211036,-1.2262283164318446,-1.4895314207493306,0.915768338968651,0.08793786917715676,0.22079008173980288,-0.9659437369653909,Bermondsey and Old Southwark,9,4
