Seat,Nation,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,DominantHandTribe,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6
Paisley and Renfrewshire North,scotland,Scotland,6,1,2,False,Average,97.67879056964252,0.7302661154838485,5.8268065070020115e-06,0.8943889184628117,0.696547736660516,8.329437527606189e-07
Paisley and Renfrewshire South,scotland,Scotland,6,1,2,False,Average,99.93767136576682,0.062035226491209024,8.551364316960613e-07,0.00029254799964068673,4.348459342450613e-09,2.5743959017490633e-10
Perth and Kinross-shire,scotland,Scotland,1,1,2,False,Average,99.32143541285163,0.5468571436043123,5.773232848893111e-06,0.11913992411205819,0.006027309652702681,0.006534436546457814
Rutherglen,scotland,Scotland,6,1,2,False,Average,98.67439766079026,1.0299644886443307,4.143407278572522e-06,0.0692918604103945,0.22634167237049974,1.743773144877627e-07
Stirling and Strathallan,scotland,Scotland,1,2,2,False,Average,28.139313349987432,68.9394580791304,0.00025470222339779987,2.487965355757784,0.43300849101199246,2.188900734663735e-08
West Aberdeenshire and Kincardine,scotland,Scotland,1,2,2,False,Liberal,0.09424225820369628,99.8979938612007,0.005056960786034325,0.0017930488076903924,0.0009138710009066153,9.83462829755159e-13
West Dunbartonshire,scotland,Scotland,6,1,2,False,Average,99.88841006143817,0.111571848933085,1.6834566144928134e-05,1.2550625849825418e-06,9.068517219173954e-19,1.3918885295472795e-15
Aberafan Maesteg,wales,Wales,6,1,2,False,Reforms,99.69843503622408,0.11023073230481895,8.001314425365678e-07,0.19133343128858307,1.2484669034737073e-12,4.973326152772166e-11
Alyn and Deeside,wales,Wales,6,1,2,False,Average,89.01505768418981,0.05409093718231426,9.886944104706148e-08,9.291422419496124,1.0071636026840274,0.6322652575782589
Bangor Aberconwy,wales,Wales,1,1,2,False,Average,92.0307541156205,6.064293859716782,3.069956463446707e-05,0.5895269421210281,0.00146967542694921,1.3139247075501652
Blaenau Gwent and Rhymney,wales,Wales,6,1,2,False,Reforms,94.66068196751249,5.29560352277895,0.0004123092272404886,0.04330220048117981,5.152546106182415e-19,3.9960937564962357e-16
"Brecon, Radnor and Cwm Tawe",wales,Wales,1,6,2,False,Average,0.0035050642111693307,0.00024623991363462784,6.182694074231234e-09,0.0012774133886109696,5.596661532378724e-08,99.99497122033725
Bridgend,wales,Wales,1,1,2,False,Average,99.5246190980391,0.1002755482043424,6.991463130551364e-08,0.31820696062678044,0.056590507624826175,0.0003078155903498976
Caerfyrddin,wales,Wales,1,1,2,False,Average,93.84077702633472,0.29481738064178525,9.20286235921801e-06,0.015359520505941625,9.764943657194782e-08,5.849036772005752
Caerphilly,wales,Wales,6,1,2,False,Average,99.98047407307745,0.012215244979886939,4.005885772885511e-08,0.007310268782079174,3.6844808422541175e-07,4.653600499422966e-09
Cardiff East,wales,Wales,3,2,5,False,Average,1.2148173895481952e-19,88.65515499386677,0.013910275131287592,11.3309347309948,7.071266798737721e-12,1.2333681947852336e-30
Cardiff North,wales,Wales,5,2,6,False,Average,7.761083489137621e-07,99.99645073893852,0.003537165340787393,1.1318990250163031e-05,6.220064420349526e-10,3.8386421854325234e-22
Cardiff South and Penarth,wales,Wales,3,2,5,False,Left,3.523088580909865e-38,98.8481184494703,1.1518808070495805,7.434800814699626e-07,6.161967777673857e-34,2.793557373958171e-54
Cardiff West,wales,Wales,5,4,4,False,Average,2.1768573998366602e-09,29.319829827414473,0.00022592018427452333,70.602681710776,0.0772625394484847,2.7994286826304906e-22
Ceredigion Preseli,wales,Wales,1,6,2,False,Average,0.0007902736341852489,0.2981203804735466,1.5854576847736432e-05,0.010483635451902888,5.674542648727157e-08,99.69058979911819
Clwyd East,wales,Wales,1,6,2,False,Average,0.18570223806623778,0.004502089994688655,3.705450318200423e-09,0.035123979292937674,15.414367875011642,84.36030381392902
Clwyd North,wales,Wales,6,1,2,False,Average,99.72988521140161,0.07474143933786455,7.87182800746716e-07,0.15364879206327342,1.605800790662976e-08,0.041723753956378895
Dwyfor Meirionnydd,wales,Wales,1,6,2,False,Average,8.55560157693207,0.010432655579752313,2.2758797283541808e-08,0.09405129222615735,0.05580756782357243,91.28410688467972
Gower,wales,Wales,1,5,2,False,Average,0.016644632882906626,0.008218600543465727,4.391068309013993e-09,0.01228952905976565,99.96166250074118,0.0011847323815703686
Llanelli,wales,Wales,6,1,2,False,Average,99.43417131339329,0.010075761244885458,8.969899019591456e-09,0.5484005256564458,0.0026106179754868952,0.004741772759963749
Merthyr Tydfil and Aberdare,wales,Wales,6,1,2,False,Average,99.94055958715128,0.020491075309873617,9.21354459637236e-08,0.038949245138737515,6.117521287490408e-11,2.0346087968882321e-10
Mid and South Pembrokeshire,wales,Wales,1,6,2,False,Average,22.46736362292323,0.010301387290294799,3.100154209527022e-08,0.5811359027610377,0.00037081260460582866,76.94082824341925
Monmouthshire,wales,Wales,1,5,2,False,Average,0.04093017548054052,0.01135554878345624,8.336198118371661e-09,0.022146968777858843,99.84313124278835,0.08243605583361917
Montgomeryshire and Glyndwr,wales,Wales,1,6,2,False,Average,5.2143753736985685,0.003081639311697351,1.6363809425672992e-08,0.331591060604275,0.0026969592933254673,94.44825495072826
Neath and Swansea East,wales,Wales,6,1,2,False,Average,97.62149340500055,0.06434195827175042,1.3083504550228453e-07,2.3140016180729237,0.0001386773048956139,2.4210514800265334e-05
Newport East,wales,Wales,6,4,4,False,Average,0.00010118552487384388,0.4901504225649395,8.605464607189045e-06,99.5097320206265,7.765819002124006e-06,8.838246426400432e-16
Newport West and Islwyn,wales,Wales,6,1,2,False,Average,98.98684383096221,0.29702121096444956,4.4633292930621955e-07,0.7056327373160969,0.010501764522689517,9.901694025066537e-09
Pontypridd,wales,Wales,6,1,2,False,Average,99.94797760861714,0.04955387864388945,3.32237979113804e-07,0.002468180162502204,2.78835020596102e-10,5.965606977789518e-11
Rhondda and Ogmore,wales,Wales,6,1,2,False,Reforms,99.21317691821334,0.7846441787009091,8.260150357188957e-05,0.002096301581993886,2.875464235044886e-18,9.198705286003153e-14
Swansea West,wales,Wales,3,2,4,False,Average,1.3090254155342353e-09,99.97754685329078,0.020942536136926242,0.0015106092632167067,5.1673588237098284e-23,5.32726497857812e-29
Torfaen,wales,Wales,6,1,2,False,Average,99.96864608329406,0.03019307828838146,1.5756784254351286e-07,0.0011606808411551387,7.42777597584963e-12,1.1395709793317511e-12
Vale of Glamorgan,wales,Wales,1,5,2,False,Average,3.128632287652142,0.17142836236019388,9.653825630103304e-08,5.990575031257228,90.70824792819138,0.0011162940008662197
Wrexham,wales,Wales,6,1,2,False,Average,99.72656789349465,0.02548477406623268,6.141404379558073e-08,0.24788935161985287,4.2112326756212026e-05,1.5807078432501372e-05
Ynys Môn,wales,Wales,1,6,2,False,Average,6.1113731212995885,0.012315073320317282,1.8513806231387372e-08,0.058572964221036,0.21146403764900826,93.60627478499616
