Nation,Party,Target,Feature,Pearson_r
england,LD,2024_share,ManagerialProfessional,0.475
england,LD,2024_share,Intermediate,0.307
england,LD,2024_share,Routine,-0.38
england,LD,2024_share,SocialRent,-0.303
england,LD,2024_share,PrivateRent,-0.132
england,LD,2024_share,OwnerOccupation,0.248
england,OTHER,2024_share,Superwealthy,-0.012
england,OTHER,2024_share,Rural,-0.209
england,OTHER,2024_share,LGBT,0.068
england,OTHER,2024_share,White,-0.481
england,OTHER,2024_share,WhiteBritish,-0.432
england,OTHER,2024_share,WhiteOther,0.141
england,OTHER,2024_share,Asian,0.557
england,OTHER,2024_share,Indian,0.276
england,OTHER,2024_share,Pakistani,0.526
england,OTHER,2024_share,Bangladeshi,0.473
england,OTHER,2024_share,Chinese,0.104
england,OTHER,2024_share,Black,0.227
england,OTHER,2024_share,Arab,0.253
england,OTHER,2024_share,Mixed,0.192
england,OTHER,2024_share,OtherEthnicity,0.293
england,OTHER,2024_share,Christian,-0.355
england,OTHER,2024_share,NoReligion,-0.468
england,OTHER,2024_share,Muslim,0.614
england,OTHER,2024_share,Hindu,0.21
england,OTHER,2024_share,Jewish,0.01
england,OTHER,2024_share,Sikh,0.21
england,OTHER,2024_share,Buddhist,-0.003
england,OTHER,2024_share,Veterans,-0.311
england,OTHER,2024_share,Age0to17,0.301
england,OTHER,2024_share,Age18to24,0.243
england,OTHER,2024_share,Age65plus,-0.342
england,OTHER,2024_share,NoQualifications,0.28
england,OTHER,2024_share,Degrees,-0.038
england,OTHER,2024_share,PublicSector,0.141
england,OTHER,2024_share,ManagerialProfessional,-0.27
england,OTHER,2024_share,Intermediate,-0.285
england,OTHER,2024_share,Routine,0.036
england,OTHER,2024_share,SocialRent,0.269
england,OTHER,2024_share,PrivateRent,0.267
england,OTHER,2024_share,OwnerOccupation,-0.316
england,REF,2024_share,Superwealthy,-0.338
england,REF,2024_share,Rural,0.119
england,REF,2024_share,LGBT,-0.411
england,REF,2024_share,White,0.466
england,REF,2024_share,WhiteBritish,0.508
england,REF,2024_share,WhiteOther,-0.494
england,REF,2024_share,Asian,-0.359
england,REF,2024_share,Indian,-0.268
england,REF,2024_share,Pakistani,-0.165
england,REF,2024_share,Bangladeshi,-0.215
england,REF,2024_share,Chinese,-0.464
england,REF,2024_share,Black,-0.382
england,REF,2024_share,Arab,-0.421
england,REF,2024_share,Mixed,-0.532
england,REF,2024_share,OtherEthnicity,-0.492
england,REF,2024_share,Christian,0.402
england,REF,2024_share,NoReligion,0.252
england,REF,2024_share,Muslim,-0.343
england,REF,2024_share,Hindu,-0.288
england,REF,2024_share,Jewish,-0.202
england,REF,2024_share,Sikh,-0.079
england,REF,2024_share,Buddhist,-0.426
england,REF,2024_share,Veterans,0.417
england,REF,2024_share,Age0to17,0.078
england,REF,2024_share,Age18to24,-0.31
england,REF,2024_share,Age65plus,0.377
england,REF,2024_share,NoQualifications,0.504
england,REF,2024_share,Degrees,-0.713
england,REF,2024_share,PublicSector,-0.026
england,REF,2024_share,ManagerialProfessional,-0.455
england,REF,2024_share,Intermediate,0.191
england,REF,2024_share,Routine,0.659
england,REF,2024_share,SocialRent,-0.127
england,REF,2024_share,PrivateRent,-0.435
england,REF,2024_share,OwnerOccupation,0.349
england,CON,swing,Superwealthy,0.324
england,CON,swing,Rural,-0.408
england,CON,swing,LGBT,0.491
england,CON,swing,White,-0.613
england,CON,swing,WhiteBritish,-0.63
england,CON,swing,WhiteOther,0.496
england,CON,swing,Asian,0.499
england,CON,swing,Indian,0.34
england,CON,swing,Pakistani,0.304
england,CON,swing,Bangladeshi,0.29
england,CON,swing,Chinese,0.538
england,CON,swing,Black,0.504
england,CON,swing,Arab,0.55
england,CON,swing,Mixed,0.575
england,CON,swing,OtherEthnicity,0.626
england,CON,swing,Christian,-0.421
england,CON,swing,NoReligion,-0.435
england,CON,swing,Muslim,0.512
england,CON,swing,Hindu,0.343
england,CON,swing,Jewish,0.221
england,CON,swing,Sikh,0.129
england,CON,swing,Buddhist,0.366
england,CON,swing,Veterans,-0.579
england,CON,swing,Age0to17,0.052
england,CON,swing,Age18to24,0.462
england,CON,swing,Age65plus,-0.598
england,CON,swing,NoQualifications,-0.137
england,CON,swing,Degrees,0.523
england,CON,swing,PublicSector,0.205
england,CON,swing,ManagerialProfessional,0.104
england,CON,swing,Intermediate,-0.527
england,CON,swing,Routine,-0.407
england,CON,swing,SocialRent,0.462
england,CON,swing,PrivateRent,0.557
england,CON,swing,OwnerOccupation,-0.609
england,GRN,swing,Superwealthy,0.069
england,GRN,swing,Rural,-0.261
england,GRN,swing,LGBT,0.562
england,GRN,swing,White,-0.373
england,GRN,swing,WhiteBritish,-0.39
england,GRN,swing,WhiteOther,0.331
england,GRN,swing,Asian,0.225
england,GRN,swing,Indian,0.064
england,GRN,swing,Pakistani,0.171
england,GRN,swing,Bangladeshi,0.18
england,GRN,swing,Chinese,0.423
england,GRN,swing,Black,0.427
england,GRN,swing,Arab,0.35
england,GRN,swing,Mixed,0.439
england,GRN,swing,OtherEthnicity,0.389
england,GRN,swing,Christian,-0.419
england,GRN,swing,NoReligion,-0.042
england,GRN,swing,Muslim,0.311
england,GRN,swing,Hindu,0.046
england,GRN,swing,Jewish,0.095
england,GRN,swing,Sikh,0.017
england,GRN,swing,Buddhist,0.233
england,GRN,swing,Veterans,-0.424
england,GRN,swing,Age0to17,-0.064
england,GRN,swing,Age18to24,0.479
england,GRN,swing,Age65plus,-0.484
england,GRN,swing,NoQualifications,-0.019
england,GRN,swing,Degrees,0.26
